meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,y_true,y_conformal
2.6853722,2.68725,0.0269812032192784,0.0339,0.1604000000000001,2.65039,2.6684,2.6989,2.7160200000000003,0.3128424261854494,-0.192205070741011,0.996906175863178,1.0,1.0
2.65405135,2.6526,0.0401195293862914,0.0543499999999999,0.2196000000000002,2.6,2.625875,2.67423,2.70831,-0.1746144010066572,0.2950984933902351,0.9971447772604264,-1.0,-1.0
2.6502792,2.64135,0.0339455535727435,0.0337,0.1892,2.6173,2.6271,2.6569,2.7023,1.4650477943947342,1.278774169985203,0.9964109768667092,-1.0,-1.0
2.6369829,2.6348,0.0335136271923825,0.0359000000000002,0.205,2.5977,2.6178,2.6491,2.6762,1.1156635850700771,0.4868503851627375,0.997983313163307,-1.0,-1.0
2.6676093,2.6642,0.0275833675157693,0.03655,0.1435999999999997,2.63628,2.647875,2.68,2.70551,0.0379495917808427,0.4774583513993309,0.9959459143155066,1.0,-1.0
2.6368025,2.6353,0.0370944121634242,0.0497999999999998,0.2001999999999997,2.5924,2.6111,2.6535,2.6896,-0.1956752201512404,0.0871614666373,0.998135234698107,-1.0,-1.0
2.6704417000000005,2.6683,0.0270485258583531,0.0313000000000003,0.1432999999999999,2.63778,2.6531,2.6798,2.70401,0.5215613070034673,0.5258974615386309,0.9969592661093852,1.0,-1.0
2.68859955,2.68625,0.0291297820932031,0.0430249999999996,0.1503999999999998,2.6518,2.666475,2.7036,2.728,-0.4016148984097163,0.1917851459333767,0.9977034210308864,1.0,1.0
2.7085823,2.7081,0.0249047217753983,0.0293499999999999,0.1381000000000001,2.6791,2.69415,2.7204,2.73951,0.4777732558827567,-0.0388651521024212,0.9954302943678234,1.0,1.0
2.65058735,2.64845,0.0299348171027901,0.0413000000000001,0.1630000000000002,2.61469,2.6285,2.66533,2.68942,-0.0612544098601559,0.3843861139905895,0.9980992999416782,-1.0,-1.0
2.6364681,2.635,0.0360419806946011,0.0474999999999998,0.1924999999999999,2.5936,2.6111,2.6533,2.68721,-0.0169240464818787,0.1476526518456135,0.9980888882252166,-1.0,-1.0
2.66305485,2.6633,0.0352681212496143,0.0490249999999998,0.221,2.61847,2.637975,2.68143,2.71071,0.0456469658667333,-0.0138436106026105,0.997156516476192,-1.0,-1.0
2.7037637,2.7067,0.0229908264816643,0.0316499999999999,0.1061,2.67148,2.689475,2.7168,2.7325,-0.3831812514236579,-0.4312052054579945,0.9966542588576478,1.0,1.0
2.65529015,2.6544,0.0323714403136082,0.0398,0.1686999999999998,2.614,2.6337,2.6686,2.70072,-0.0735471369389029,0.3347686350362364,0.9959854889356392,-1.0,-1.0
2.6560321000000005,2.656,0.030060122414754,0.03885,0.1615999999999999,2.619,2.636675,2.67103,2.6963,0.1394284052656038,-0.1833401744799021,0.9974499833631386,-1.0,-1.0
2.7121554000000008,2.7117500000000003,0.0302939357106335,0.0418750000000001,0.1575999999999999,2.67479,2.6901,2.72703,2.7533,-0.2851122738409288,0.0698461323625848,0.9977200238073428,1.0,1.0
