SafetyMargin,Eta,Tau,NumberOfCollisions,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,adfStatEntropy
0.07151893526315689,0.54881352186203,0.5928446054458618,0,2.6951239000000005,2.6917,0.026651270678712483,0.039824999999999555,0.1524000000000001,2.6641,2.6758,2.71073,2.7296,-0.10189388515058839,0.27811938544351433,0.9970230138471605,0.9975217747345276
0.07203245162963867,0.4170219898223877,0.9971848130226135,6,2.6890007000000002,2.6902,0.01957147361620989,0.025724999999999998,0.10589999999999966,2.66389,2.676275,2.7003,2.71261,0.09391679539793829,-0.33007509304681126,0.9963546544824567,0.9968530810229681
0.0025926230009645224,0.4359948933124542,0.1850820779800415,64,2.6405755999999996,2.6435,0.035025356595472366,0.04349999999999987,0.21589999999999998,2.59374,2.6193,2.6587,2.68141,0.45588352470182203,-0.038634008616245163,0.996945272090914,0.9974439940879575
0.07081478089094162,0.5507978796958923,0.07072488218545914,0,2.7016896000000004,2.7004,0.026586230117111375,0.03379999999999983,0.1288999999999998,2.66739,2.6836,2.7133,2.7405,-0.35554542959916224,0.2777202064114566,0.9971991801609025,0.99769802917549
0.05472322925925255,0.9670298099517822,0.9006214737892151,8,2.66770275,2.66825,0.027198718672715082,0.04392499999999977,0.1322000000000001,2.6323,2.644975,2.6864,2.70261,-0.7898074888871323,-0.01900280429291751,0.9975580391000574,0.9980570676338744
0.08707322925329208,0.22199317812919617,0.05518012121319771,0,2.7099184999999997,2.7123,0.027191781069837998,0.038000000000000256,0.13790000000000013,2.6739,2.6891,2.72403,2.74291,-0.23514634561522563,0.04342142683719117,0.9966635741248714,0.9971621552024725
0.033197980374097824,0.8928601741790771,0.9474760890007019,10,2.6524098000000005,2.6516,0.03763742995954958,0.05194999999999972,0.19930000000000003,2.60459,2.6253,2.6702,2.70051,-0.2620833013244357,0.14364205210902084,0.9980510169966637,0.9985502921427349
0.07799188047647476,0.07630828768014908,0.22733907401561737,0,2.6837806,2.6897,0.03338134739102064,0.04490000000000016,0.17689999999999984,2.63856,2.6622,2.7028,2.7243,-0.18239376531377838,-0.5118825073243635,0.9981618116633884,0.9986611422345056
0.096854068338871,0.8734294176101685,0.011114438064396381,0,2.7272184999999998,2.7259,0.023476971860740475,0.035724999999999785,0.1341000000000001,2.69949,2.708,2.7395,2.7591200000000002,-0.32542404258005453,0.353709181307159,0.9960680993739246,0.9965663825652074
0.05018745735287666,0.01037415862083435,0.3644610345363617,0,2.6591072000000002,2.65975,0.028667648458846434,0.0365000000000002,0.15759999999999996,2.6233,2.6405,2.6718,2.69591,0.07483391634064285,-0.009111431673993687,0.9970380566586028,0.9975368250711383
0.002075194614008069,0.771320641040802,0.29876115918159485,50,2.6442929,2.6431,0.03880973408295913,0.049049999999999816,0.2105999999999999,2.5985,2.618075,2.66063,2.69281,0.24263204551815098,0.21770009594982187,0.9976756989287712,0.998174786321932
0.0019475240260362625,0.18026968836784363,0.06830684840679169,66,2.63631545,2.6376,0.03418826284410339,0.04602499999999976,0.19240000000000013,2.58719,2.614675,2.6542,2.67991,-0.24440884087907921,-0.14786192022739908,0.996268353319119,0.996766736687463
0.07400497049093246,0.15416283905506134,0.4462217390537262,0,2.68821845,2.6864,0.02991559316807039,0.03312500000000007,0.18080000000000007,2.6566899999999998,2.670875,2.69923,2.72664,1.1047475196613572,0.05032150588028849,0.9977949699539274,0.9982941170124336
0.023754121735692024,0.7777023911476135,0.6073413491249084,6,2.6547106999999994,2.6563,0.02918832053253493,0.03520000000000012,0.17090000000000005,2.61819,2.6362,2.6672,2.6896,0.4214746148472961,-0.10373537489951508,0.9947552094397768,0.9952528358577056
0.07731650769710541,0.5139433145523071,0.9218934178352356,0,2.6855551500000003,2.68615,0.022514773227316768,0.028499999999999748,0.13050000000000006,2.65649,2.6724,2.69733,2.7135,0.3825833168048729,-0.31411700333259507,0.9959033940886556,0.9964015948860985
0.017889592796564102,0.8488177061080933,0.8135804533958435,43,2.62993385,2.6289,0.030329408322245593,0.04179999999999984,0.14529999999999976,2.5922899999999998,2.60795,2.6454,2.6729,-0.4522596257383342,0.10632355023476976,0.9979802872957729,0.9984795270593029
0.0523163340985775,0.2232910841703415,0.32665616273880005,4,2.6708096000000006,2.6711,0.029203391033234483,0.04662500000000014,0.14639999999999986,2.6345899999999998,2.648975,2.6919,2.7079,-0.5931005889638139,-0.19614095094545306,0.9972196864198479,0.9977185456926942
0.0530586801469326,0.29466500878334045,0.18177777528762817,0,2.6834041500000003,2.6807499999999997,0.03055670839238906,0.04402499999999998,0.1565000000000003,2.6467899999999998,2.660275,2.6994,2.7267,-0.30074827842648233,0.3193306319147366,0.9961084354636253,0.9966067388330418
0.050545334815979004,0.6503742337226868,0.07601077109575272,0,2.68803675,2.68765,0.028041604883413864,0.03852499999999992,0.1448999999999998,2.65389,2.6694750000000003,2.70293,2.7240100000000003,-0.24910905275372253,-0.1644734258220111,0.9971816930983378,0.9976805333650206
0.07612497359514236,0.09753360599279404,0.43046823143959045,5,2.68868915,2.68665,0.02479128934278127,0.03320000000000034,0.15490000000000004,2.6578,2.6727,2.7003,2.7208,0.2570524010816575,0.24833700622881655,0.997266740805839,0.997765623617648
0.08977137506008148,0.5881307721138,0.8874117136001587,0,2.6995835,2.7007,0.029129746784858947,0.0319250000000002,0.17399999999999993,2.6645,2.682775,2.7105,2.737,0.5333671639177231,-0.039794163957535926,0.9976033206287779,0.998102371814685
