SafetyMargin,Eta,Tau,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,adfStatEntropy,output
0.0522033460438251,0.8522545099258423,0.5529152154922485,2.6758208,2.67535,0.0254416681324161,0.0363999999999999,0.1309999999999997,2.64449,2.6573,2.6885,2.71021,-0.3429631006424407,0.1252819719857471,0.9962439288476946,0.9967422999976936,0
0.0759024247527122,0.8494042158126831,0.2199232727289199,2.70520025,2.7051,0.0293526183659567,0.0407499999999996,0.1634000000000002,2.66868,2.6846,2.721,2.74101,-0.0759859269305445,0.0782466371876583,0.9974869485715564,0.9979859415423276,0
0.0299333129078149,0.4514111280441284,0.7902624607086182,2.6527887,2.6493,0.0335320928710094,0.0374249999999998,0.1977999999999999,2.61699,2.630675,2.66473,2.69705,0.7846456308242384,0.5881802795906989,0.9974762948342374,0.9979752824754748,31
0.0772163197398185,0.6223134994506836,0.4875893890857696,2.6986826,2.697,0.0225829339821025,0.0345499999999998,0.1124,2.6713,2.680175,2.7118,2.72921,-0.6261266804630714,0.1449771342208661,0.9970924790513492,0.9975912746886932,0
0.0160980336368083,0.5647979378700256,0.0652166157960891,2.6606739,2.6602,0.0363210347978963,0.0487250000000001,0.1720999999999999,2.61359,2.636475,2.67903,2.7082400000000004,-0.3111847507131293,-0.0252842806287162,0.9974578195705196,0.9979567979695042,1
0.0429836176335811,0.750413715839386,0.6078534126281738,2.6602465,2.6625,0.0344658562602178,0.0405999999999999,0.1880000000000001,2.61249,2.64,2.67493,2.705,-0.0092414288476359,-0.1000284269555142,0.9980918608476476,0.9985911564258608,4
0.0417106933891773,0.5438418984413147,0.2082548588514328,2.6692965,2.67,0.0349645836204293,0.0503,0.1629999999999998,2.62178,2.642775,2.6872,2.71841,-0.6572385046451585,0.0157846083677108,0.9978301255950234,0.998329290240143,0
0.0952781066298484,0.6868650317192078,0.8678641319274902,2.7007606500000003,2.70435,0.0259721242215091,0.0348999999999999,0.145,2.66449,2.6818,2.7136,2.7326,-0.1828553163658539,-0.1291642153371603,0.9969762615741988,0.9974749990737356,0
0.0732006132602691,0.8388922810554504,0.3289414942264557,2.6946626,2.6955,0.0246373564174405,0.0360249999999999,0.1202999999999998,2.6606,2.6762,2.7086,2.72721,-0.5947016339565026,0.064255100813859,0.9976072983698137,0.9981063515455862,0
0.0820867046713829,0.1630501747131347,0.5848081111907959,2.6919783,2.6919,0.0337477852474795,0.0425999999999997,0.1958000000000002,2.65208,2.6695,2.70763,2.73231,0.3558946212777014,0.1908350034383225,0.9976380885818952,0.9981371571604756,0
0.0587646551430225,0.783124566078186,0.6026789546012878,2.6833438500000004,2.6832,0.0290926023617259,0.0377249999999995,0.1577999999999999,2.6437,2.665875,2.699,2.71842,-0.0477731804940608,-0.2453537291378127,0.9964075676866412,0.9969060206969896,0
0.0247189085930585,0.7136189341545105,0.1058038026094436,2.6717984500000003,2.67225,0.0335124674203123,0.0465999999999997,0.1661999999999999,2.6284,2.6486,2.69003,2.71651,-0.4227943666453133,-0.0764964026383361,0.9970585286411366,0.997557307294784,0
0.0310846902430057,0.4554779231548309,0.9858208894729614,2.66133205,2.6596,0.0249309197142323,0.0346250000000001,0.1397999999999997,2.63229,2.6439,2.6754,2.6960200000000003,-0.1061069953012121,-0.0274723640949662,0.996889073801546,0.9973877676853884,79
0.0440663360059261,0.1229752749204635,0.3201966881752014,2.6632476,2.66275,0.0290387441918551,0.0390249999999996,0.1392000000000002,2.6266,2.6433750000000003,2.6787,2.70331,-0.38037960543465,-0.0272585043396786,0.9970878411113844,0.9975866344285984,1
0.0574703700840473,0.2525773644447326,0.4256949126720428,2.6844202,2.6858,0.0261759363148675,0.0326249999999999,0.1593999999999997,2.6518,2.669575,2.69833,2.7139,0.6744502173839022,-0.2723623265391108,0.996788358396456,0.997287001897405,0
0.0515972860157489,0.758004367351532,0.6658583879470825,2.67865135,2.67625,0.0273578924293795,0.0369250000000001,0.1634000000000002,2.64539,2.660675,2.69193,2.7156,0.2222351765189913,0.2258495774472781,0.9975655046319624,0.9980645369004122,1
0.061673529446125,0.6698851585388184,0.2756817042827606,2.691341,2.69515,0.0250956761016713,0.0334749999999997,0.1499999999999999,2.6567,2.675075,2.7058,2.72072,0.0695903239168407,-0.3811712784675305,0.9968130850594348,0.9973117409298996,0
0.0283142067492008,0.6465733051300049,0.3349896967411041,2.6675798000000004,2.6656,0.0368965201876816,0.0467249999999999,0.1962999999999999,2.6197,2.643575,2.6843,2.71682,-0.0253145833007564,0.2024517784196967,0.9973806539560148,0.9978795937528916,2
0.0617925003170967,0.2318482398986816,0.2185960263013839,2.69510255,2.69515,0.0263138630477833,0.0411999999999999,0.1308000000000002,2.66028,2.6742,2.7114,2.72761,-0.5771429702034454,-0.0082784730183881,0.9971015361403928,0.9976003363085472,0
0.0726502165198326,0.9773820042610168,0.9764540791511536,2.6891078500000005,2.6894,0.0226075459388563,0.0300000000000002,0.1244999999999998,2.66089,2.6738,2.7008,2.7198100000000003,-0.1672046088458749,0.0174144456181258,0.9964736793745672,0.9969721654572956,0
0.0383958406746387,0.0813787728548049,0.3253733813762665,2.66471485,2.6628,0.0279495619729093,0.0371999999999999,0.1458999999999997,2.62968,2.6463,2.67953,2.7,-0.1469473899990871,0.002951723119111,0.9964999898363884,0.9969984890809284,2
