meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,rangeEntropy,percentile10Entropy,percentile25Entropy,percentile75Entropy,percentile90Entropy,kurtosisEntropy,skewnessEntropy,autoCorrEntropy,y_true,y_conformal
2.6758208,2.67535,0.0254416681324161,0.0363999999999999,0.1309999999999997,2.64449,2.6573,2.6885,2.71021,-0.3429631006424407,0.1252819719857471,0.9962439288476946,1.0,1.0
2.70520025,2.7051,0.0293526183659567,0.0407499999999996,0.1634000000000002,2.66868,2.6846,2.721,2.74101,-0.0759859269305445,0.0782466371876583,0.9974869485715564,1.0,1.0
2.6527887,2.6493,0.0335320928710094,0.0374249999999998,0.1977999999999999,2.61699,2.630675,2.66473,2.69705,0.7846456308242384,0.5881802795906989,0.9974762948342374,-1.0,-1.0
2.6986826,2.697,0.0225829339821025,0.0345499999999998,0.1124,2.6713,2.680175,2.7118,2.72921,-0.6261266804630714,0.1449771342208661,0.9970924790513492,1.0,1.0
2.6606739,2.6602,0.0363210347978963,0.0487250000000001,0.1720999999999999,2.61359,2.636475,2.67903,2.7082400000000004,-0.3111847507131293,-0.0252842806287162,0.9974578195705196,1.0,-1.0
2.6602465,2.6625,0.0344658562602178,0.0405999999999999,0.1880000000000001,2.61249,2.64,2.67493,2.705,-0.0092414288476359,-0.1000284269555142,0.9980918608476476,-1.0,-1.0
2.6692965,2.67,0.0349645836204293,0.0503,0.1629999999999998,2.62178,2.642775,2.6872,2.71841,-0.6572385046451585,0.0157846083677108,0.9978301255950234,1.0,-1.0
2.7007606500000003,2.70435,0.0259721242215091,0.0348999999999999,0.145,2.66449,2.6818,2.7136,2.7326,-0.1828553163658539,-0.1291642153371603,0.9969762615741988,1.0,1.0
2.6946626,2.6955,0.0246373564174405,0.0360249999999999,0.1202999999999998,2.6606,2.6762,2.7086,2.72721,-0.5947016339565026,0.064255100813859,0.9976072983698137,1.0,1.0
2.6919783,2.6919,0.0337477852474795,0.0425999999999997,0.1958000000000002,2.65208,2.6695,2.70763,2.73231,0.3558946212777014,0.1908350034383225,0.9976380885818952,1.0,1.0
2.6833438500000004,2.6832,0.0290926023617259,0.0377249999999995,0.1577999999999999,2.6437,2.665875,2.699,2.71842,-0.0477731804940608,-0.2453537291378127,0.9964075676866412,1.0,1.0
2.6717984500000003,2.67225,0.0335124674203123,0.0465999999999997,0.1661999999999999,2.6284,2.6486,2.69003,2.71651,-0.4227943666453133,-0.0764964026383361,0.9970585286411366,1.0,-1.0
2.66133205,2.6596,0.0249309197142323,0.0346250000000001,0.1397999999999997,2.63229,2.6439,2.6754,2.6960200000000003,-0.1061069953012121,-0.0274723640949662,0.996889073801546,-1.0,-1.0
2.6632476,2.66275,0.0290387441918551,0.0390249999999996,0.1392000000000002,2.6266,2.6433750000000003,2.6787,2.70331,-0.38037960543465,-0.0272585043396786,0.9970878411113844,1.0,-1.0
2.6844202,2.6858,0.0261759363148675,0.0326249999999999,0.1593999999999997,2.6518,2.669575,2.69833,2.7139,0.6744502173839022,-0.2723623265391108,0.996788358396456,1.0,1.0
2.67865135,2.67625,0.0273578924293795,0.0369250000000001,0.1634000000000002,2.64539,2.660675,2.69193,2.7156,0.2222351765189913,0.2258495774472781,0.9975655046319624,1.0,1.0
2.691341,2.69515,0.0250956761016713,0.0334749999999997,0.1499999999999999,2.6567,2.675075,2.7058,2.72072,0.0695903239168407,-0.3811712784675305,0.9968130850594348,1.0,1.0
2.6675798000000004,2.6656,0.0368965201876816,0.0467249999999999,0.1962999999999999,2.6197,2.643575,2.6843,2.71682,-0.0253145833007564,0.2024517784196967,0.9973806539560148,-1.0,-1.0
2.69510255,2.69515,0.0263138630477833,0.0411999999999999,0.1308000000000002,2.66028,2.6742,2.7114,2.72761,-0.5771429702034454,-0.0082784730183881,0.9971015361403928,1.0,1.0
2.6891078500000005,2.6894,0.0226075459388563,0.0300000000000002,0.1244999999999998,2.66089,2.6738,2.7008,2.7198100000000003,-0.1672046088458749,0.0174144456181258,0.9964736793745672,1.0,1.0
2.66471485,2.6628,0.0279495619729093,0.0371999999999999,0.1458999999999997,2.62968,2.6463,2.67953,2.7,-0.1469473899990871,0.002951723119111,0.9964999898363884,-1.0,-1.0
2.68633635,2.68475,0.0297479973053229,0.0407249999999996,0.1391999999999997,2.64929,2.6648,2.699,2.7286,-0.4119217425866281,0.2247253746019022,0.9983545507307732,1.0,1.0
2.6788795,2.6806,0.0270031162970128,0.0304999999999999,0.1569000000000002,2.64048,2.6658,2.69313,2.70791,0.4978373988662099,-0.193460414752518,0.9961835938983592,1.0,1.0
2.64762,2.644,0.0360123240016525,0.049925,0.1802000000000001,2.60329,2.621775,2.66493,2.6993,-0.3018041584218798,0.3493243514930954,0.9969922076817336,-1.0,-1.0
2.6623270000000003,2.6619,0.0288593506683709,0.0295,0.1918999999999999,2.6326,2.6469,2.6728,2.6986,2.0888608633584465,-0.3905559256971354,0.9972340963090818,-1.0,1.0
2.69967465,2.7006,0.0309640269082931,0.0446249999999999,0.1549,2.65809,2.678575,2.71943,2.73781,-0.5124406682283502,-0.1889057588242652,0.9971060932431338,1.0,1.0
2.6652171500000006,2.6667,0.0311064144651469,0.0423,0.169,2.62369,2.6446,2.68213,2.70431,-0.0591973186494239,-0.3260344185688615,0.9962928561772726,-1.0,-1.0
2.6351146,2.63405,0.0332599608664832,0.0462500000000001,0.1728999999999998,2.59478,2.611475,2.65276,2.6788,-0.2685558793717955,0.1110785269596591,0.9972544337677636,-1.0,-1.0
2.6379751,2.63795,0.036795606666965,0.044,0.2201999999999997,2.5931,2.6163,2.65583,2.68666,0.9108590066576304,-0.3146788037745817,0.9978932859730384,-1.0,-1.0
2.65307765,2.6548,0.0296880950126056,0.0429999999999997,0.1598999999999999,2.61079,2.6324,2.6712,2.69071,-0.4676903273173205,-0.233866049923648,0.9976548209616944,1.0,-1.0
2.6813342,2.6782,0.0308942538404797,0.0416499999999997,0.1564000000000001,2.64429,2.6594,2.69643,2.72351,-0.2529217773190355,0.235023255324868,0.9980462937902644,1.0,1.0
2.6750952,2.6743,0.0253208415531553,0.0320999999999997,0.129,2.64218,2.6585,2.6858,2.7096,-0.1606578263380145,0.1891216377291752,0.9976837606902704,1.0,1.0
2.6993186000000007,2.7003,0.0210775094363636,0.0261249999999999,0.1271,2.67179,2.6856750000000003,2.7088,2.7255,0.3895640725474218,-0.0398478272930055,0.9969678929100518,1.0,1.0
2.65457455,2.65615,0.0372358709754115,0.049725,0.1985999999999999,2.60599,2.627975,2.67283,2.7008300000000003,-0.0638564532579257,0.2357208754761584,0.9979965571316068,-1.0,-1.0
2.705197,2.70525,0.019134062846139,0.0234,0.0940000000000003,2.67938,2.6924,2.7132,2.73271,-0.2557115544610164,0.1030955826348518,0.9967280292005762,1.0,1.0
2.6454940500000004,2.646,0.0375101268939135,0.0414999999999996,0.2242000000000001,2.59929,2.6232,2.6608,2.6886,1.0085040298338583,0.3395782303664197,0.997750608822343,-1.0,-1.0
2.6544077,2.65305,0.0282116710017326,0.038675,0.1568,2.6213,2.634175,2.6688,2.69273,-0.0785680057181346,0.1427973917512301,0.996312179574952,1.0,-1.0
2.7042418,2.70315,0.0271608319600118,0.0339,0.1896,2.67179,2.6871,2.7166,2.7402300000000004,1.2391408867617928,-0.201718259312693,0.9927437644722632,1.0,1.0
2.6914958,2.6942500000000003,0.0297398004761296,0.0404249999999999,0.1484000000000001,2.6483,2.6721,2.70743,2.72671,-0.2374585115310998,-0.3165748433915664,0.9976128116969902,1.0,1.0
2.6733903,2.6747,0.0273547739144376,0.0391000000000003,0.1381999999999998,2.6338600000000003,2.6548,2.6909,2.70761,-0.436261691079288,-0.3073902976142474,0.9978466117971196,1.0,1.0
2.638585,2.6414,0.033788160278417,0.0470999999999999,0.2165999999999996,2.5941,2.6153,2.65863,2.6795,0.4433585243250149,-0.4114108751187594,0.9971776867072628,-1.0,-1.0
2.66071075,2.66125,0.0282190642906085,0.0407000000000001,0.1459000000000001,2.6247,2.6414,2.67859,2.69671,-0.1446979656387572,-0.3692199576960179,0.9966086168993766,-1.0,-1.0
