Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
214,medianEntropy > 2.68,0.4967,0.6006481814908174,1.0,1.0,1.0
215,skewnessEntropy > 0.20,0.249,0.5166977805434557,-1.0,-1.0,1.0
216,percentile10Entropy > 2.64,0.4883,0.602510460251046,1.0,1.0,-1.0
217,percentile10Entropy > 2.66,0.245,0.6500648028142937,1.0,1.0,1.0
219,percentile10Entropy <= 2.64 AND meanEntropy <= 2.68,0.4767,0.8938108702481935,-1.0,-1.0,1.0
220,percentile10Entropy > 2.66,0.2538,0.6430410159601854,1.0,1.0,1.0
221,percentile10Entropy > 2.66,0.2591,0.6564687062587482,1.0,1.0,1.0
222,percentile25Entropy > 2.67,0.2486,0.6451211932877564,1.0,1.0,1.0
223,percentile10Entropy <= 2.62,0.2553,0.5580199292831887,-1.0,-1.0,-1.0
224,percentile10Entropy > 2.64,0.5032,0.6057951482479784,1.0,1.0,1.0
225,percentile10Entropy > 2.66,0.2467,0.641849669701839,1.0,1.0,1.0
226,skewnessEntropy > 0.20,0.2522,0.5283302870659069,-1.0,-1.0,-1.0
227,percentile10Entropy > 2.64,0.5011,0.6167437946992007,1.0,1.0,-1.0
228,percentile10Entropy > 2.64,0.4953,0.607570076772005,1.0,1.0,1.0
229,skewnessEntropy <= 0.20,0.7486,0.5897728895872019,1.0,1.0,-1.0
231,percentile10Entropy > 2.64,0.504,0.618291427731216,1.0,1.0,1.0
233,percentile25Entropy <= 2.66 AND meanEntropy <= 2.68,0.4894,0.8921190893169877,-1.0,-1.0,1.0
234,percentile25Entropy > 2.67,0.2538,0.6341798215511325,1.0,1.0,1.0
235,percentile10Entropy <= 2.64,0.5029,0.5016099356025759,-1.0,-1.0,1.0
236,skewnessEntropy <= -0.18,0.2469,0.6080299953132323,1.0,1.0,1.0
237,percentile75Entropy <= 2.67,0.2505,0.5181767853847573,-1.0,-1.0,1.0
238,percentile10Entropy > 2.64,0.498,0.6151947339550192,1.0,1.0,1.0
240,percentile25Entropy > 2.67,0.2463,0.6273176761433868,1.0,1.0,1.0
241,percentile25Entropy <= 2.63,0.2522,0.5388747948067453,-1.0,-1.0,-1.0
242,percentile10Entropy > 2.66,0.2485,0.6417949386903209,1.0,1.0,1.0
243,percentile10Entropy > 2.66,0.2521,0.6293764242800911,1.0,1.0,1.0
244,percentile25Entropy <= 2.63,0.2557,0.5359891353553644,-1.0,-1.0,1.0
245,percentile10Entropy > 2.66,0.2511,0.6460505642051135,1.0,1.0,1.0
246,percentile25Entropy > 2.67,0.2509,0.6208659049909802,1.0,1.0,1.0
247,percentile25Entropy <= 2.63,0.2478,0.5464943553178847,-1.0,-1.0,-1.0
248,percentile10Entropy > 2.66,0.2476,0.637720860156143,1.0,1.0,1.0
249,percentile25Entropy > 2.66,0.5015,0.6198254012954098,1.0,1.0,1.0
250,percentile25Entropy > 2.67,0.2463,0.6367360874018436,1.0,1.0,-1.0
251,percentile25Entropy <= 2.63,0.2461,0.538007947699013,-1.0,-1.0,-1.0
252,skewnessEntropy <= 0.01,0.4948,0.5865484388265259,1.0,1.0,1.0
253,percentile10Entropy > 2.66,0.2548,0.6393974808466433,1.0,1.0,1.0
254,percentile25Entropy > 2.66,0.5006,0.6113685511275873,1.0,1.0,1.0
255,percentile25Entropy > 2.66,0.5044,0.5935371685263006,1.0,1.0,1.0
256,percentile10Entropy > 2.64,0.504,0.626614481409002,1.0,1.0,1.0
257,percentile10Entropy > 2.64,0.5087,0.6206411698537683,1.0,1.0,1.0
259,percentile10Entropy > 2.64,0.5005,0.6141624435008903,1.0,1.0,1.0
260,percentile10Entropy > 2.66,0.246,0.6525066972828167,1.0,1.0,1.0
261,kurtosisEntropy > 0.25,0.2473,0.5781351880026081,1.0,1.0,-1.0
262,percentile10Entropy > 2.64,0.4899,0.6167771813493317,1.0,1.0,1.0
263,percentile10Entropy > 2.66,0.2503,0.6580411124546554,1.0,1.0,-1.0
264,percentile10Entropy <= 2.62,0.2484,0.5613483146067416,-1.0,-1.0,-1.0
265,percentile10Entropy <= 2.64 AND percentile25Entropy <= 2.66,0.4779,0.9072948328267477,-1.0,-1.0,1.0
266,percentile10Entropy <= 2.64 AND percentile90Entropy <= 2.70,0.2512,0.9676840215439856,-1.0,-1.0,-1.0
267,skewnessEntropy > 0.20,0.2511,0.5324074074074074,-1.0,-1.0,1.0
268,percentile10Entropy > 2.64,0.5119,0.6130039011703511,1.0,1.0,1.0
269,percentile10Entropy <= 2.62,0.2522,0.5525286190407187,-1.0,-1.0,-1.0
270,percentile10Entropy <= 2.62,0.2466,0.5600162206001622,-1.0,-1.0,-1.0
271,percentile10Entropy <= 2.62,0.2534,0.5613816710751517,-1.0,-1.0,-1.0
272,percentile10Entropy <= 2.62,0.2568,0.5537254901960784,-1.0,-1.0,-1.0
273,percentile10Entropy > 2.64,0.4997,0.6156118622883763,1.0,1.0,1.0
274,percentile10Entropy > 2.64,0.493,0.6141414141414141,1.0,1.0,-1.0
275,medianEntropy > 2.69,0.2488,0.6108981836360606,1.0,1.0,1.0
276,percentile10Entropy > 2.66,0.2532,0.6399629543875898,1.0,1.0,1.0
277,skewnessEntropy <= 0.20,0.7532,0.5786842631473705,1.0,1.0,1.0
278,percentile10Entropy > 2.66,0.2513,0.6423030511980693,1.0,1.0,1.0
