Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
73,percentile10Entropy <= 2.62,0.2473,0.6766645394596894,-1.0,-1.0,-1.0
74,percentile10Entropy <= 2.64,0.4969,0.6080661840744571,-1.0,-1.0,-1.0
75,percentile10Entropy <= 2.64,0.4985,0.6299159663865547,-1.0,-1.0,1.0
76,skewnessEntropy > 0.20,0.2504,0.6244035446489434,-1.0,-1.0,1.0
77,skewnessEntropy > 0.20,0.2568,0.6147180375949873,-1.0,-1.0,-1.0
78,percentile10Entropy > 2.66,0.2437,0.5558317795732339,1.0,1.0,1.0
79,percentile10Entropy > 2.66,0.2498,0.5589318600368324,1.0,1.0,1.0
80,percentile10Entropy <= 2.62,0.2498,0.6681297244574494,-1.0,-1.0,-1.0
81,percentile75Entropy > 2.71,0.2516,0.5243379848368311,1.0,1.0,-1.0
82,percentile10Entropy > 2.66,0.2464,0.5508514294641462,1.0,1.0,1.0
83,percentile10Entropy <= 2.64,0.5055,0.6127858627858628,-1.0,-1.0,1.0
84,percentile10Entropy <= 2.64,0.4993,0.6082889856474762,-1.0,-1.0,1.0
85,percentile10Entropy > 2.66,0.2444,0.5485805677728909,1.0,1.0,1.0
86,percentile10Entropy <= 2.62,0.2501,0.6802176696542894,-1.0,-1.0,-1.0
87,percentile10Entropy > 2.66,0.2509,0.5582160242073412,1.0,1.0,1.0
88,percentile10Entropy > 2.66,0.2533,0.5541137493097736,1.0,1.0,1.0
89,percentile10Entropy <= 2.62,0.2603,0.6636948984645864,-1.0,-1.0,1.0
90,percentile10Entropy > 2.66,0.2502,0.547833600790026,1.0,1.0,1.0
91,percentile25Entropy <= 2.66,0.4912,0.6171875,-1.0,-1.0,-1.0
92,percentile10Entropy <= 2.62,0.2505,0.6638948497854077,-1.0,-1.0,-1.0
93,percentile75Entropy > 2.69,0.4944,0.5126632897893895,1.0,1.0,1.0
94,percentile10Entropy <= 2.64,0.498,0.6216719914802982,-1.0,-1.0,1.0
95,percentile10Entropy <= 2.62,0.2409,0.6706850926198177,-1.0,-1.0,-1.0
96,percentile10Entropy > 2.64 AND medianEntropy > 2.68,0.4622,0.928918070225521,1.0,1.0,1.0
97,percentile10Entropy <= 2.64,0.4953,0.6104807097173509,-1.0,-1.0,1.0
98,percentile25Entropy > 2.67,0.2535,0.5359330083739533,1.0,1.0,1.0
99,percentile10Entropy <= 2.64,0.4944,0.6141493713073777,-1.0,-1.0,1.0
100,percentile10Entropy > 2.66,0.2467,0.5473064735174287,1.0,1.0,1.0
101,percentile10Entropy <= 2.64,0.5061,0.6137858458300447,-1.0,-1.0,1.0
102,percentile10Entropy <= 2.64,0.4993,0.6155865132243085,-1.0,-1.0,-1.0
103,percentile10Entropy <= 2.62,0.2501,0.6628112134875515,-1.0,-1.0,-1.0
104,percentile10Entropy > 2.66,0.2429,0.5528327778866888,1.0,1.0,1.0
105,medianEntropy <= 2.66,0.2545,0.6279155868196964,-1.0,-1.0,1.0
106,percentile10Entropy <= 2.62,0.2541,0.664,-1.0,-1.0,-1.0
108,percentile25Entropy > 2.66,0.5086,0.5119808306709265,1.0,1.0,1.0
109,percentile10Entropy > 2.66,0.2548,0.5588189345414779,1.0,1.0,1.0
110,skewnessEntropy > 0.20,0.2499,0.6269676884838442,-1.0,-1.0,-1.0
111,percentile10Entropy <= 2.62,0.254,0.6625207296849088,-1.0,-1.0,-1.0
112,percentile10Entropy > 2.66,0.2548,0.551696414214504,1.0,1.0,1.0
113,percentile10Entropy > 2.66,0.2548,0.5493369734789392,1.0,1.0,1.0
114,percentile10Entropy <= 2.64,0.5047,0.6063448956918899,-1.0,-1.0,1.0
115,percentile25Entropy > 2.67,0.2517,0.5432122370936903,1.0,1.0,1.0
116,percentile25Entropy <= 2.63,0.2415,0.6460156065263656,-1.0,-1.0,-1.0
117,percentile10Entropy <= 2.62,0.2472,0.6672504378283712,-1.0,-1.0,-1.0
118,percentile10Entropy <= 2.62,0.258,0.6525789593274256,-1.0,-1.0,-1.0
119,percentile25Entropy > 2.66,0.4868,0.5022475002293367,1.0,1.0,-1.0
120,medianEntropy <= 2.66,0.2524,0.6394520547945205,-1.0,-1.0,-1.0
121,percentile10Entropy > 2.66,0.2484,0.5486902619476105,1.0,1.0,1.0
123,percentile10Entropy > 2.66,0.2405,0.5514119713552222,1.0,1.0,1.0
124,percentile10Entropy <= 2.62,0.2436,0.6649255680334291,-1.0,-1.0,1.0
125,skewnessEntropy > 0.20,0.2471,0.6239425788259421,-1.0,-1.0,1.0
126,percentile10Entropy <= 2.62,0.2515,0.653822120391585,-1.0,-1.0,-1.0
127,percentile10Entropy <= 2.62,0.2554,0.6530092138796314,-1.0,-1.0,-1.0
128,skewnessEntropy > 0.20,0.255,0.6322854115153655,-1.0,-1.0,-1.0
129,percentile10Entropy <= 2.64,0.5111,0.6074240719910011,-1.0,-1.0,1.0
130,percentile10Entropy <= 2.64,0.5014,0.6249177451195438,-1.0,-1.0,-1.0
131,percentile10Entropy > 2.66,0.2474,0.5461385262226156,1.0,1.0,1.0
132,percentile10Entropy > 2.64,0.5032,0.5031693598785822,1.0,1.0,1.0
133,percentile10Entropy > 2.66,0.2524,0.5504889572574443,1.0,1.0,1.0
134,skewnessEntropy > 0.20,0.246,0.6220905628438426,-1.0,-1.0,1.0
135,percentile10Entropy <= 2.64,0.5057,0.6205826581623858,-1.0,-1.0,1.0
136,percentile10Entropy <= 2.62,0.2488,0.6722430863776033,-1.0,-1.0,-1.0
137,percentile90Entropy > 2.73,0.249,0.5132699666707814,1.0,1.0,1.0
138,percentile25Entropy <= 2.63,0.2521,0.6419363325440673,-1.0,-1.0,-1.0
139,percentile10Entropy > 2.66,0.251,0.5372745055422734,1.0,1.0,1.0
140,percentile10Entropy > 2.66,0.2564,0.5456029381758825,1.0,1.0,1.0
141,percentile25Entropy <= 2.66,0.4888,0.6231812577065351,-1.0,-1.0,1.0
142,percentile10Entropy <= 2.62,0.2475,0.6656484309913913,-1.0,-1.0,-1.0
143,percentile10Entropy <= 2.62,0.2475,0.6584166530077037,-1.0,-1.0,-1.0
144,percentile10Entropy <= 2.64,0.4973,0.6106041923551171,-1.0,-1.0,-1.0
145,percentile10Entropy <= 2.64,0.5064,0.6134621792735755,-1.0,-1.0,1.0
146,percentile10Entropy <= 2.64,0.4994,0.6143639427127211,-1.0,-1.0,-1.0
147,percentile10Entropy <= 2.62,0.2577,0.6596858638743456,-1.0,-1.0,-1.0
148,percentile10Entropy <= 2.64,0.4975,0.615140453896207,-1.0,-1.0,1.0
149,percentile10Entropy <= 2.62,0.2439,0.6496945010183299,-1.0,-1.0,-1.0
150,percentile25Entropy > 2.67,0.2536,0.5315845194682979,1.0,1.0,1.0
151,percentile25Entropy <= 2.66,0.5023,0.5923482849604221,-1.0,-1.0,-1.0
152,percentile10Entropy <= 2.64,0.5067,0.6135644059323446,-1.0,-1.0,-1.0
153,percentile10Entropy > 2.66,0.2498,0.5672695191883547,1.0,1.0,1.0
154,percentile10Entropy > 2.64,0.5047,0.5067043048694425,1.0,1.0,1.0
155,meanEntropy <= 2.66,0.2496,0.6252482269503546,-1.0,-1.0,-1.0
156,percentile10Entropy <= 2.64,0.4952,0.6091347257287124,-1.0,-1.0,1.0
157,skewnessEntropy > 0.20,0.2564,0.6110596945858399,-1.0,-1.0,-1.0
158,medianEntropy > 2.69,0.2453,0.5202666379959144,1.0,1.0,1.0
159,percentile10Entropy > 2.66,0.2606,0.5593502707205331,1.0,1.0,1.0
160,percentile10Entropy <= 2.64,0.5054,0.61698956780924,-1.0,-1.0,1.0
161,medianEntropy <= 2.66,0.2487,0.6189149319783642,-1.0,-1.0,-1.0
162,percentile10Entropy > 2.64,0.5034,0.5072572841629932,1.0,1.0,1.0
163,percentile10Entropy <= 2.64,0.4935,0.6137763673697966,-1.0,-1.0,1.0
164,percentile10Entropy <= 2.62,0.2607,0.6598821638993037,-1.0,-1.0,-1.0
165,percentile10Entropy <= 2.64,0.4998,0.614853606284218,-1.0,-1.0,1.0
166,percentile10Entropy <= 2.64,0.5025,0.6295344187375036,-1.0,-1.0,1.0
167,percentile25Entropy > 2.67,0.2578,0.539377598022694,1.0,1.0,1.0
168,percentile10Entropy > 2.66,0.2522,0.5649246553382494,1.0,1.0,1.0
169,percentile10Entropy <= 2.64,0.5099,0.6427758816837316,-1.0,-1.0,1.0
170,percentile75Entropy > 2.71,0.2554,0.5204758190327613,1.0,1.0,1.0
171,percentile10Entropy <= 2.64,0.5002,0.6182237600922722,-1.0,-1.0,-1.0
172,percentile10Entropy <= 2.62,0.2518,0.6710816777041942,-1.0,-1.0,-1.0
173,percentile10Entropy <= 2.64,0.5112,0.6006664815329075,-1.0,-1.0,-1.0
174,percentile10Entropy <= 2.64,0.5081,0.6189910979228487,-1.0,-1.0,-1.0
175,percentile10Entropy <= 2.64,0.4951,0.6042602521373714,-1.0,-1.0,-1.0
176,percentile10Entropy > 2.66,0.252,0.5633294864396999,1.0,1.0,1.0
177,percentile10Entropy <= 2.64,0.4988,0.6188873934499776,-1.0,-1.0,-1.0
178,meanEntropy > 2.68 AND percentile25Entropy > 2.66,0.4844,0.9249037227214377,1.0,1.0,1.0
179,percentile25Entropy <= 2.63,0.2574,0.6498643761301989,-1.0,-1.0,-1.0
180,percentile25Entropy <= 2.66,0.5006,0.6041440790266233,-1.0,-1.0,-1.0
181,percentile25Entropy > 2.66,0.4972,0.5126050420168067,1.0,1.0,1.0
182,percentile10Entropy <= 2.62,0.2493,0.665514261019879,-1.0,-1.0,-1.0
183,percentile10Entropy > 2.66,0.2556,0.5514001473839352,1.0,1.0,1.0
184,rangeEntropy <= 0.14 AND meanEntropy > 2.68,0.2135,0.9405584738733758,1.0,1.0,-1.0
185,percentile10Entropy <= 2.62,0.2484,0.6638098948188547,-1.0,-1.0,-1.0
186,percentile10Entropy <= 2.62,0.251,0.6644363341443633,-1.0,-1.0,-1.0
187,percentile10Entropy > 2.64,0.5048,0.5162637640804961,1.0,1.0,1.0
188,percentile10Entropy > 2.64,0.4956,0.5125842696629214,1.0,1.0,-1.0
189,percentile10Entropy > 2.66,0.251,0.5504975651069236,1.0,1.0,1.0
190,percentile10Entropy <= 2.64,0.4972,0.607728600314536,-1.0,-1.0,1.0
191,rangeEntropy <= 0.14,0.2519,0.5071527457314259,1.0,1.0,1.0
192,medianEntropy > 2.69,0.2541,0.5355632449058054,1.0,1.0,1.0
193,skewnessEntropy > 0.20,0.2549,0.6198519204072189,-1.0,-1.0,1.0
194,percentile10Entropy <= 2.62,0.2541,0.6656731246895181,-1.0,-1.0,-1.0
195,percentile75Entropy <= 2.67,0.2479,0.6225568727971804,-1.0,-1.0,-1.0
196,percentile10Entropy <= 2.64,0.4968,0.6281833616298812,-1.0,-1.0,-1.0
197,percentile10Entropy <= 2.62,0.2555,0.6615953053683982,-1.0,-1.0,1.0
198,percentile10Entropy <= 2.64,0.4965,0.6198889449772842,-1.0,-1.0,-1.0
199,percentile10Entropy > 2.66,0.2543,0.5454161385720321,1.0,1.0,1.0
