Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
794,meanEntropy > 2.69,0.2519,0.766541822721598,1.0,1.0,1.0
795,meanEntropy > 2.68,0.4936,0.7129506008010681,1.0,1.0,1.0
796,medianEntropy > 2.68,0.5033,0.6471764117941029,1.0,1.0,1.0
797,medianEntropy <= 2.68,0.4966,0.807994289793005,-1.0,-1.0,1.0
798,medianEntropy > 2.68,0.4955,0.6702747710241466,1.0,1.0,1.0
799,meanEntropy > 2.68,0.5033,0.6619483763530392,1.0,1.0,1.0
801,medianEntropy <= 2.68,0.4974,0.8202567760342369,1.0,1.0,1.0
802,medianEntropy > 2.69,0.2556,0.8057901085645356,1.0,1.0,-1.0
803,meanEntropy <= 2.66,0.2478,0.9435215946843853,-1.0,-1.0,-1.0
804,medianEntropy > 2.69,0.249,0.7852684144818977,1.0,1.0,1.0
805,medianEntropy > 2.69,0.2498,0.7795698924731183,1.0,1.0,1.0
807,meanEntropy <= 2.66,0.2527,0.9384615384615385,-1.0,-1.0,-1.0
808,medianEntropy > 2.69,0.2563,0.7857142857142857,1.0,1.0,1.0
809,medianEntropy <= 2.68,0.5017,0.8181818181818182,-1.0,-1.0,-1.0
810,medianEntropy <= 2.68,0.4913,0.8024809160305344,-1.0,-1.0,-1.0
811,medianEntropy <= 2.68,0.5019,0.8191808191808192,-1.0,-1.0,-1.0
812,meanEntropy > 2.68,0.4985,0.6473947180585297,1.0,1.0,1.0
813,meanEntropy > 2.69,0.2464,0.7891231964483907,1.0,1.0,1.0
814,medianEntropy > 2.69,0.2478,0.7856494096276113,1.0,1.0,-1.0
815,medianEntropy <= 2.68,0.5016,0.8171160609613131,-1.0,-1.0,-1.0
816,medianEntropy > 2.69,0.2472,0.7932067932067932,1.0,1.0,1.0
817,medianEntropy > 2.69,0.2542,0.7828418230563002,1.0,1.0,1.0
818,medianEntropy > 2.69,0.2498,0.7884615384615384,1.0,1.0,1.0
819,medianEntropy > 2.69,0.2513,0.800332778702163,1.0,1.0,1.0
820,meanEntropy > 2.69,0.2566,0.7769145394006659,1.0,1.0,1.0
