SafetyMargin,Eta,Tau,NumberOfCollisions,NumberOfDeadlocks,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy
0.35759466886520386,0.54881352186203,0.5928446054458618,0,20,2.7842817275747507,2.78195,0.025715977394627658,0.03340000000000032
0.36016225814819336,0.4170219898223877,0.9971848130226135,0,20,2.7689187845303866,2.7685500000000003,0.014857468832423228,0.021575000000000344
0.01296311430633068,0.4359948933124542,0.1850820779800415,23,0,2.6509622,2.65625,0.041437463256816284,0.05192499999999978
0.3540739119052887,0.5507978796958923,0.07072488218545914,0,20,2.8099872727272728,2.8109,0.0256959848786212,0.03529999999999989
0.27361613512039185,0.9670298099517822,0.9006214737892151,0,8,2.7608229,2.7642,0.02469239853861913,0.028124999999999734
0.435366153717041,0.22199317812919617,0.05518012121319771,0,20,2.7903689743589744,2.7917,0.017082619341407958,0.02859999999999996
0.16598990559577942,0.8928601741790771,0.9474760890007019,0,0,2.7279266499999997,2.7296,0.023974660055514862,0.0279250000000002
0.3899593949317932,0.07630828768014908,0.22733907401561737,0,20,2.790228995756719,2.80015,0.035396177156098295,0.05754999999999999
0.4842703342437744,0.8734294176101685,0.011114438064396381,0,18,2.8309732999999992,2.8385,0.01603529441918663,0.0007999999999999119
0.250937283039093,0.01037415862083435,0.3644610345363617,0,0,2.7588852999999998,2.76035,0.023525068202026534,0.0323500000000001
0.010375972837209702,0.771320641040802,0.29876115918159485,14,0,2.6663429499999998,2.66585,0.03308891280017371,0.04444999999999988
0.009737620130181313,0.18026968836784363,0.06830684840679169,18,0,2.6512703,2.6474,0.03203475546824105,0.04389999999999983
0.3700248599052429,0.15416283905506134,0.4462217390537262,0,20,2.7943147025813695,2.7978,0.027575511619427066,0.03625000000000034
0.11877060681581497,0.7777023911476135,0.6073413491249084,0,0,2.71544555,2.7154499999999997,0.030149307292166767,0.033424999999999816
0.38658252358436584,0.5139433145523071,0.9218934178352356,0,19,2.7812706000000005,2.7807500000000003,0.02313291519977541,0.036824999999999886
0.08944796025753021,0.8488177061080933,0.8135804533958435,0,0,2.681724,2.6816500000000003,0.02710502636043728,0.03572500000000023
0.2615816593170166,0.2232910841703415,0.32665616273880005,0,11,2.7511155,2.7535,0.02680154696561376,0.041400000000000325
0.2652933895587921,0.29466500878334045,0.18177777528762817,0,18,2.77196975,2.7707,0.028211353918901165,0.03442500000000015
0.252726674079895,0.6503742337226868,0.07601077109575272,0,18,2.7768332,2.7783,0.030971611642922295,0.0405000000000002
0.3806248605251312,0.09753360599279404,0.43046823143959045,0,18,2.77923695,2.7776,0.026393516622411267,0.03942500000000004
0.4488568603992462,0.5881307721138,0.8874117136001587,0,20,2.760886599817685,2.7695,0.021812222013959354,0.024599999999999955
0.14455482363700867,0.04872487857937813,0.7992718815803528,0,0,2.7200147,2.724,0.026650090879957615,0.033500000000000085
0.24084052443504333,0.20846053957939148,0.7019630074501038,0,15,2.73613345,2.74245,0.03728104821618485,0.04420000000000002
0.47348129749298096,0.5172978639602661,0.6690971255302429,0,20,2.7593205680705193,2.7654,0.026420265128715398,0.03049999999999997
0.34975603222846985,0.9600173234939575,0.2944338023662567,0,19,2.78777365,2.78945,0.024736554341247687,0.027099999999999902
0.2911384701728821,0.8701241612434387,0.6960659623146057,0,16,2.7723781999999995,2.7738,0.02554090806451485,0.03672500000000012
0.25969573855400085,0.3079349398612976,0.7131112217903137,0,17,2.7372752499999997,2.7338,0.025924959449100404,0.028825000000000323
0.40729185938835144,0.4257214069366455,0.4808014929294586,0,20,2.786381787330317,2.79245,0.02204544557411136,0.02574999999999994
0.2806198000907898,0.7290137410163879,0.1708230972290039,0,7,2.7680372500000003,2.77105,0.024277886799256233,0.03002500000000019
0.14245298504829407,0.8637599945068359,0.8005293011665344,0,0,2.7280647,2.7287,0.021511586503789076,0.027724999999999778
0.1903742402791977,0.6441435217857361,0.9169780015945435,0,0,2.74396555,2.7439,0.01503482085684761,0.02179999999999982
0.4790527820587158,0.2860538363456726,0.02899160049855709,0,20,2.7846627450980392,2.7882,0.02647486995145697,0.043099999999999916
0.1863555759191513,0.8588892817497253,0.05965651199221611,0,12,2.7455537999999997,2.7474,0.03118347119164254,0.04602499999999976
0.2249877154827118,0.24851012229919434,0.6896826028823853,0,7,2.7303743000000003,2.73035,0.02292802389020912,0.03334999999999999
0.3900502324104309,0.03856167942285538,0.19576385617256165,0,19,2.7974312,2.7979,0.027228907369925805,0.037799999999999834
0.1541748046875,0.45805495977401733,0.44979506731033325,0,0,2.7373399,2.7369,0.025561178141666325,0.0391250000000003
0.3008071184158325,0.7285072207450867,0.08763899654150009,0,19,2.7725045,2.7854,0.01993959326942251,0.031099999999999905
0.2320490926504135,0.9444966316223145,0.1392260491847992,0,7,2.7734634999999996,2.7735,0.02166248595498679,0.03110000000000035
0.4298539161682129,0.3847731053829193,0.8970097899436951,0,20,2.7949767812238053,2.7924,0.024793034112823187,0.03399999999999981
0.3989495038986206,0.5468891859054565,0.0056667570024728775,0,18,2.76173365,2.7648,0.0318546719128843,0.039825
0.027683019638061523,0.4076870381832123,0.644008219242096,20,0,2.65354945,2.6507,0.03324463324654823,0.04302499999999965
0.023047911003232002,0.25092363357543945,0.6805727481842041,33,0,2.66436065,2.66025,0.03237465299547626,0.04225000000000012
0.47535714507102966,0.3745401203632355,0.7965430021286011,0,20,2.800511499148211,2.8007,0.017132370080256393,0.0215749999999999
0.3045332729816437,0.11505456268787384,0.4968612790107727,0,15,2.7663137,2.7665,0.02338793262154652,0.030899999999999928
0.05239805579185486,0.8348421454429626,0.43254169821739197,0,0,2.6839888999999997,2.6853499999999997,0.026615579211995373,0.03252500000000014
0.27477237582206726,0.9890115261077881,0.3045364320278168,0,18,2.7784172,2.7774,0.02154788375131071,0.02839999999999998
0.31741684675216675,0.7838323712348938,0.25804683566093445,0,17,2.7979979000000004,2.7966,0.02322475480150436,0.03832499999999994
0.4872415363788605,0.11348846554756165,0.8517575263977051,0,20,2.7876679723502304,2.7922,0.012606084846268052,0.008999999999999897
0.44578662514686584,0.017490267753601074,0.42648375034332275,0,20,2.7798744496330894,2.782,0.02114543766323944,0.031700000000000284
0.12353091686964035,0.30096444487571716,0.4737371504306793,0,0,2.72494185,2.7255,0.01955414006233718,0.027000000000000135
0.11404155194759369,0.49460163712501526,0.1291745901107788,0,0,2.72420865,2.7229,0.02437217594260922,0.032800000000000384
0.02235608920454979,0.6757314205169678,0.32711076736450195,0,0,2.65587195,2.6589,0.029518818543388555,0.03852499999999992
