SafetyMargin,Eta,Tau,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,output
0.1643834859132766,0.7539792060852051,0.5282608270645142,2.7429461,2.7433,0.019901287767127,0.0240499999999999,0
0.2440391927957534,0.6722785830497742,0.7225396633148193,2.7368653,2.7408,0.0282097071220174,0.0415,13
0.2117265611886978,0.4373059570789337,0.0462529174983501,2.76022075,2.7583,0.0235658985493339,0.0327249999999996,0
0.02248658798635,0.1713299304246902,0.9000627398490906,2.6444125000000005,2.6453,0.0297351582096009,0.037525,0
0.4177141487598419,0.9469425678253174,0.8944932222366333,2.76978645,2.7718,0.0235674827123623,0.0359500000000001,14
0.2600907981395721,0.2625727653503418,0.2352478802204132,2.7553162,2.7574,0.0260015164473151,0.0355249999999998,11
0.015022718347609,0.5653307437896729,0.1656590551137924,2.65379265,2.65755,0.0350331530264904,0.0483000000000002,0
0.4294522404670715,0.6504825949668884,0.8285716772079468,2.8000162696106914,2.8003,0.0299290325085472,0.0425999999999997,20
0.2102985084056854,0.2533318996429443,0.8316133618354797,2.74777205,2.7502,0.0210237637876166,0.0301999999999997,0
0.2542598843574524,0.30238738656044,0.6591305136680603,2.74495155,2.7493,0.0249267315867423,0.029725,14
0.3071759641170501,0.1081651225686073,0.915910542011261,2.74659185,2.7476,0.0309922036741097,0.053925,17
0.272165983915329,0.8943171501159668,0.8898102045059204,2.7442203,2.7415,0.0291874015272,0.0440249999999999,15
0.3849150836467743,0.4000897109508514,0.9488996267318726,2.79368335,2.7979,0.0301007745378337,0.0421999999999997,19
0.1158344596624374,0.7236779928207397,0.6719830632209778,2.71460175,2.7142,0.0155152554583384,0.0171000000000001,0
0.4291181564331054,0.8839312195777893,0.2712493538856506,2.7796616224648987,2.7816,0.0217646794801722,0.0409000000000001,20
0.3005049526691437,0.3128255307674408,0.4272496402263641,2.768689,2.77195,0.0307435711816308,0.0503249999999999,18
0.2232448160648346,0.6063420176506042,0.7475950121879578,2.7557002,2.7564,0.0183823736214886,0.0215499999999999,0
0.2484582513570785,0.5794859528541565,0.175323337316513,2.76694515,2.7694,0.0246936728025115,0.0288999999999997,0
0.0887984037399292,0.4352423548698425,0.3641730546951294,2.7113812,2.7101,0.0218292800284388,0.0269249999999998,0
0.2715041041374206,0.9348179697990416,0.9898291826248168,2.75272905,2.7523,0.0233108816027515,0.0351749999999997,7
0.2077092826366424,0.6238986849784851,0.2771649360656738,2.7516201,2.7511,0.021223796220045,0.0325499999999996,0
0.009397804737091,0.7338159084320068,0.1812480986118316,2.65249095,2.65395,0.0263873206881164,0.0363000000000002,0
0.0907393842935562,0.5474575161933899,0.4734534323215484,2.6974245,2.6992,0.0231918341178527,0.0306999999999999,0
0.108789674937725,0.096611738204956,0.0606327392160892,2.70797275,2.7075,0.0295332902406335,0.044,0
0.1928593218326568,0.5354276895523071,0.5818368196487427,2.75036355,2.75045,0.0200960629576417,0.0268999999999999,0
0.1505360603332519,0.3657947182655334,0.766740083694458,2.7290505000000005,2.7301,0.018415857019156,0.0245999999999999,0
0.0263342875987291,0.3323458433151245,0.3820344507694244,2.65268985,2.6515,0.038520397219882,0.0578499999999997,0
0.3192515969276428,0.0516016222536563,0.1633613407611847,2.761475159914712,2.76715,0.0246981813342958,0.0449749999999999,20
0.0525737889111042,0.4685611724853515,0.65718674659729,2.6666729,2.6642,0.024618452745654,0.0336250000000002,0
0.1228517889976501,0.8287248015403748,0.227063849568367,2.72464105,2.7242,0.0248791072970374,0.0299,0
0.2606000900268554,0.5262208580970764,0.147685170173645,2.7729945000000003,2.7747,0.0280890722479401,0.0470999999999999,17
0.3497282564640045,0.4759915471076965,0.2260347306728363,2.77341805,2.777,0.0318567932974664,0.045125,17
0.2745344042778015,0.6906641125679016,0.7251675724983215,2.7500176999999995,2.7515,0.0295315889635149,0.0424250000000001,13
0.0116209154948592,0.8510658144950867,0.4494256377220154,2.65426945,2.6519,0.0301941819180036,0.0393249999999998,0
0.336178570985794,0.8916724324226379,0.1211594715714454,2.7932844500000003,2.80215,0.0215816823532712,0.0236999999999998,19
0.3968384265899658,0.546532154083252,0.9605501294136048,2.77511785,2.77175,0.0220103722453188,0.0347999999999997,18
0.2004518657922744,0.1215273365378379,0.5575920939445496,2.7478552,2.74825,0.0231589300910037,0.031625,0
0.2639573216438293,0.5150297284126282,0.3363375961780548,2.75384695,2.75775,0.037776640410411,0.0515750000000001,17
0.4775162637233734,0.5855360627174377,0.0296335220336914,2.79480625,2.7969,0.0205708625472414,0.0340499999999996,19
0.4017162919044494,0.3076115250587463,0.166924387216568,2.7991658,2.8014,0.0199543777241987,0.0282,19
0.2363167703151703,0.8512039184570312,0.6627162098884583,2.73912785,2.7384,0.027034364970857,0.039025,12
0.4701737463474273,0.1596689522266388,0.2274611890316009,2.7982184704184703,2.8032,0.0204451359449519,0.0310749999999999,20
0.0214139521121978,0.8443080186843872,0.9618148803710938,2.6406572500000003,2.6436,0.0335258632616298,0.0441500000000001,0
0.0519287958741188,0.9031488299369812,0.7689666152000427,2.66843135,2.6675,0.0296403156558343,0.0394999999999998,0
0.1962116956710815,0.300855278968811,0.1603638380765915,2.7540743,2.75535,0.0221284782465943,0.0308999999999999,0
0.3201523125171661,0.3750571310520172,0.7075755596160889,2.7504159500000003,2.7518,0.0260047478472201,0.0302000000000002,19
0.3432030975818634,0.6194201111793518,0.8254649043083191,2.7722687,2.77375,0.0267545827908042,0.0449250000000001,17
0.0705640912055969,0.972288191318512,0.1062119901180267,2.7035706,2.7057,0.028697158842645,0.0381,0
0.0773972794413566,0.1996105015277862,0.7179608941078186,2.68503275,2.68465,0.0254451512559367,0.0362999999999997,0
0.2156549394130706,0.9376145601272584,0.0696899220347404,2.7650787,2.7672,0.0197151065508152,0.0257999999999998,3
0.3566701710224151,0.2840472757816314,0.1543928682804107,2.77931335,2.7768,0.0231679709249105,0.0428000000000001,19
0.2524027526378631,0.4227018654346466,0.9204968214035034,2.7427099,2.74195,0.0218531716688905,0.0308250000000001,7
0.1534714251756668,0.7094921469688416,0.0178448874503374,2.74380285,2.7433,0.0240568029230299,0.0338000000000002,3
0.2552835941314697,0.2832465767860412,0.1119434908032417,2.756614,2.7561,0.0226119064654,0.0281000000000002,11
