SafetyMargin,Eta,Tau,y_true,y_conformal
0.0147775756195187,0.6056182980537415,0.248986467719078,-1.0,1.0
0.0162169989198446,0.8040401339530945,0.2981286644935608,-1.0,1.0
0.0413011722266674,0.2193456292152404,0.7666090726852417,-1.0,-1.0
0.0505872629582881,0.8443247675895691,0.11628407984972,1.0,1.0
0.0104825999587774,0.6164898872375488,0.5067017078399658,-1.0,-1.0
0.0496448762714862,0.3289514780044555,0.2944388687610626,1.0,1.0
0.0476689748466014,0.7190549969673157,0.3748469948768616,1.0,1.0
0.0118196411058306,0.3384076952934265,0.8861712217330933,-1.0,-1.0
0.0106642143800854,0.8993290662765503,0.8386410474777222,-1.0,-1.0
0.0622606761753559,0.2392344772815704,0.5872833728790283,1.0,-1.0
0.0991700962185859,0.9975162148475648,0.6536310911178589,1.0,1.0
0.0977687165141105,0.2591330409049988,0.7781413793563843,1.0,-1.0
0.090935580432415,0.8368048071861267,0.3528333604335785,1.0,1.0
0.0709215030074119,0.0932574793696403,0.0245508030056953,1.0,1.0
0.0018155623693019,0.3518969416618347,0.943528950214386,-1.0,-1.0
0.0714643821120262,0.5753832459449768,0.2565437257289886,1.0,1.0
0.061895128339529,0.1531805694103241,0.0587163567543029,1.0,1.0
0.0141221852973103,0.1898997575044632,0.356271743774414,-1.0,-1.0
0.0039544343017041,0.2985825836658478,0.1198447048664093,-1.0,-1.0
0.0520639903843402,0.2662285566329956,0.4674975872039795,1.0,-1.0
0.0148377483710646,0.6413161754608154,0.8613422513008118,-1.0,-1.0
0.0734902694821357,0.5956454873085022,0.960754096508026,-1.0,-1.0
0.0112530002370476,0.9068538546562196,0.613043487071991,-1.0,-1.0
0.0088885957375168,0.285752385854721,0.0855836644768714,-1.0,1.0
0.0890155136585235,0.8057706952095032,0.8627088665962219,1.0,-1.0
0.0326866433024406,0.3001650869846344,0.4368897676467895,-1.0,-1.0
0.0174103062599897,0.1975831836462021,0.5275111198425293,-1.0,-1.0
0.0881533101201057,0.5114148259162903,0.6237002611160278,1.0,1.0
0.0879513248801231,0.7726578116416931,0.3314957022666931,1.0,1.0
0.0416903086006641,0.4667641520500183,0.7506380081176758,-1.0,-1.0
0.0216729864478111,0.8250829577445984,0.684299647808075,-1.0,-1.0
0.014986366033554,0.2899830043315887,0.3532577157020569,-1.0,-1.0
0.0846247151494026,0.4750161170959472,0.494247555732727,1.0,1.0
0.0740425512194633,0.3517884016036987,0.6189256906509399,1.0,-1.0
0.0495440848171711,0.0347172617912292,0.3394281566143036,1.0,-1.0
0.0975894555449485,0.5882959961891174,0.1097185313701629,1.0,1.0
0.0348339192569255,0.9528822898864746,0.1079286634922027,1.0,1.0
0.0574012361466884,0.7781909108161926,0.9447306394577026,-1.0,-1.0
0.0282617807388305,0.9997417330741882,0.1629098802804947,1.0,1.0
0.0519338361918926,0.2117040753364563,0.4806418418884277,1.0,-1.0
0.0473054461181163,0.1593557149171829,0.8830966949462891,-1.0,-1.0
0.0256677269935607,0.3005707859992981,0.4451690018177032,-1.0,-1.0
0.0408782698214054,0.5751979947090149,0.2851602733135223,1.0,1.0
0.0782644525170326,0.8963897228240967,0.8679659366607666,1.0,-1.0
0.0480429083108902,0.582812488079071,0.5705065131187439,-1.0,-1.0
0.0800754055380821,0.4791020154953003,0.957960844039917,1.0,-1.0
0.0097849266603589,0.7947180271148682,0.3511622846126556,-1.0,1.0
0.0977117791771888,0.4837991595268249,0.8340880870819092,1.0,-1.0
0.0766312479972839,0.1283214837312698,0.4940398633480072,1.0,-1.0
0.0122680971398949,0.1357863396406173,0.0039419895038008,-1.0,1.0
0.0692828819155693,0.7813680768013,0.1311024576425552,1.0,1.0
0.0217567924410104,0.2177768945693969,0.2443317472934723,-1.0,-1.0
0.0601918399333953,0.1296694427728653,0.9244820475578308,-1.0,-1.0
0.0451176352798938,0.4495615363121032,0.8255264759063721,-1.0,-1.0
0.061604905873537,0.136272981762886,0.3809636235237121,1.0,-1.0
0.0443688444793224,0.4399014711380005,0.5786592364311218,1.0,-1.0
0.0792205482721328,0.7339369654655457,0.1520938128232956,1.0,1.0
0.0818940550088882,0.0629840642213821,0.8011007905006409,-1.0,-1.0
0.0774533078074455,0.8518856167793274,0.1094355434179306,1.0,1.0
0.0710899457335472,0.6132797002792358,0.8962296843528748,-1.0,-1.0
0.073336936533451,0.60597825050354,0.798880398273468,1.0,-1.0
0.0114763854071497,0.4594132006168365,0.1912143230438232,-1.0,1.0
0.0407169908285141,0.328809916973114,0.8162920475006104,-1.0,-1.0
0.0458560213446617,0.0288317911326885,0.1028395667672157,1.0,1.0
0.0385357290506362,0.0847742706537246,0.0511298701167106,1.0,1.0
0.0032648101914674,0.8760293126106262,0.3521136343479156,-1.0,1.0
0.0474268905818462,0.413002073764801,0.7260252833366394,-1.0,-1.0
0.0088544031605124,0.9438502192497252,0.5061460137367249,-1.0,-1.0
0.0965079665184021,0.1420034319162368,0.0586905032396316,1.0,1.0
0.0369965322315692,0.0124776130542159,0.3054761290550232,1.0,-1.0
0.0398763976991176,0.7522249817848206,0.9289124011993408,-1.0,-1.0
0.0588508807122707,0.8827918767929077,0.7388836741447449,1.0,-1.0
0.0737619027495384,0.616243302822113,0.6022886037826538,1.0,1.0
0.0521260909736156,0.7317975759506226,0.6970056891441345,-1.0,-1.0
0.0408397726714611,0.717677652835846,0.1279625445604324,1.0,1.0
0.0361836589872837,0.9906440377235411,0.4725574553012848,1.0,1.0
0.0930071696639061,0.0761309117078781,0.5927327871322632,1.0,-1.0
0.07618098706007,0.6943501234054565,0.4677653610706329,1.0,1.0
0.0784410536289215,0.4545609951019287,0.6293993592262268,1.0,-1.0
0.0222084801644086,0.4638262689113617,0.9514992237091064,-1.0,-1.0
0.0470819249749183,0.9688647985458374,0.5529354810714722,1.0,1.0
0.0747869834303855,0.6588318943977356,0.0883356481790542,1.0,1.0
0.0599438436329364,0.6452430486679077,0.9973505139350892,-1.0,-1.0
0.0934265926480293,0.2147959321737289,0.3137618005275726,1.0,1.0
0.088414542376995,0.6481327414512634,0.9668870568275452,1.0,-1.0
0.004258188419044,0.1611372381448745,0.7056218981742859,-1.0,-1.0
0.0220794398337602,0.2034278213977813,0.990201473236084,-1.0,-1.0
0.0075533725321292,0.2284243106842041,0.5367925763130188,-1.0,-1.0
0.0370101295411586,0.7478617429733276,0.9141087532043456,-1.0,-1.0
0.0321782156825065,0.9444774389266968,0.6514220833778381,1.0,-1.0
0.0894800871610641,0.1604453325271606,0.8283696174621582,1.0,-1.0
0.0698764622211456,0.1293816119432449,0.665866494178772,-1.0,-1.0
0.0605535209178924,0.8660271167755127,0.4181453585624695,1.0,1.0
0.0468811355531215,0.7084124088287354,0.834717869758606,-1.0,-1.0
0.0338116772472858,0.8432838320732117,0.8731365203857422,-1.0,-1.0
0.0669890567660331,0.1731382310390472,0.6475735902786255,-1.0,-1.0
0.0001974094629986,0.4763534069061279,0.3524066507816314,-1.0,-1.0
0.0526467263698577,0.209795668721199,0.8880408406257629,-1.0,-1.0
0.0956265181303024,0.080914206802845,0.909230649471283,1.0,-1.0
0.0148885296657681,0.0877927169203758,0.1496862769126892,-1.0,-1.0
0.0713754072785377,0.2305601388216018,0.9188245534896852,1.0,-1.0
0.0749954953789711,0.4129727184772491,0.7858209013938904,-1.0,-1.0
0.0390806086361408,0.8620681166648865,0.017080433666706,1.0,1.0
0.0506860986351966,0.3274009227752685,0.1723367273807525,1.0,1.0
0.0452186129987239,0.7864890098571777,0.2543497085571289,1.0,1.0
0.0684895068407058,0.172686368227005,0.3695567846298218,1.0,-1.0
0.0441391095519065,0.5853022336959839,0.421657532453537,1.0,1.0
0.0558266602456569,0.5617102980613708,0.984242856502533,-1.0,-1.0
0.087193563580513,0.7002785801887512,0.9379884600639344,1.0,-1.0
0.0760848596692085,0.9068264961242676,0.1859467923641204,1.0,1.0
0.0079024564474821,0.4238394200801849,0.1179486438632011,-1.0,1.0
0.0174145232886075,0.4887579083442688,0.2837777733802795,-1.0,-1.0
0.0191636588424444,0.2371631860733032,0.8949806690216064,-1.0,-1.0
0.0281329061836004,0.2484995275735855,0.8610948324203491,-1.0,-1.0
0.0563284121453762,0.4976635575294494,0.4608593881130218,1.0,1.0
0.0627421587705612,0.225408062338829,0.7147712111473083,-1.0,-1.0
0.0130824521183967,0.8823866844177246,0.0378562547266483,1.0,1.0
1.952131242433097e-05,0.2938408255577087,0.2511447668075561,-1.0,-1.0
0.0382025167346,0.2163863331079483,0.0050206873565912,1.0,1.0
0.0844416171312332,0.2498649507761001,0.0258021242916584,1.0,1.0
0.0254574418067932,0.1000387892127037,0.1898801475763321,-1.0,-1.0
0.0221326556056737,0.8134638667106628,0.7894008755683899,-1.0,-1.0
0.0398965328931808,0.705712616443634,0.8245312571525574,-1.0,-1.0
0.0108292223885655,0.3715925216674804,0.5270900130271912,-1.0,-1.0
0.0055538746528327,0.2359584122896194,0.0755082741379737,-1.0,1.0
0.047505147755146,0.0705946087837219,0.6688339114189148,-1.0,-1.0
0.0743708461523056,0.8765361309051514,0.6055567860603333,1.0,1.0
0.010186456143856,0.0256870836019516,0.2062051892280578,-1.0,-1.0
0.0707069113850593,0.2974756062030792,0.8097661733627319,1.0,-1.0
0.0720655545592308,0.7272801995277405,0.1992189735174179,1.0,1.0
0.0123849483206868,0.4930945634841919,0.1155947223305702,-1.0,1.0
0.0054964371956884,0.67325359582901,0.90614253282547,-1.0,-1.0
0.0374201871454715,0.6091445684432983,0.0827545970678329,1.0,1.0
0.0898306965827941,0.5995588302612305,0.614559531211853,1.0,1.0
0.0094886003062129,0.467767596244812,0.5590287446975708,-1.0,-1.0
0.0835827589035034,0.329403281211853,0.8075973987579346,1.0,-1.0
0.0660017281770706,0.2986597418785095,0.1573990434408188,1.0,1.0
0.0952383875846862,0.9646104574203492,0.4732817411422729,1.0,1.0
0.0741182491183281,0.5233928561210632,0.4648149907588959,1.0,1.0
0.0865030512213707,0.1693852990865707,0.9051701426506042,-1.0,-1.0
0.0338523536920547,0.4293860495090484,0.847993016242981,-1.0,-1.0
0.020184377208352,0.397117555141449,0.3581472337245941,-1.0,-1.0
0.0218626353889703,0.1957772374153137,0.3341739475727081,-1.0,-1.0
0.0766646713018417,0.4623585343360901,0.240520566701889,1.0,1.0
0.0476175025105476,0.5911504626274109,0.4908712804317474,1.0,1.0
0.0756730288267135,0.5969001650810242,0.6359738707542419,1.0,-1.0
0.0304074715822935,0.277912974357605,0.1432559490203857,-1.0,1.0
0.0931222438812255,0.9635950922966005,0.212602287530899,1.0,1.0
0.0165772661566734,0.985553741455078,0.7374114990234375,-1.0,-1.0
0.0929892808198928,0.8372409343719482,0.058212973177433,1.0,1.0
0.0095307230949401,0.2949692010879516,0.7911136746406555,-1.0,-1.0
0.0791623890399932,0.850421667098999,0.075844869017601,1.0,1.0
0.0969747826457023,0.165253683924675,0.8635653257369995,1.0,-1.0
0.0214900970458984,0.5495562553405762,0.3946649730205536,1.0,-1.0
0.0491157807409763,0.2228938341140747,0.1411826312541961,1.0,1.0
0.012703170068562,0.8963863253593445,0.2246972918510437,1.0,1.0
0.0801728889346122,0.5459047555923462,0.2529122829437256,1.0,1.0
0.0883137509226799,0.7824192047119141,0.3832041323184967,1.0,1.0
0.0865583941340446,0.8956751227378845,0.5116367340087891,1.0,1.0
0.0189660657197237,0.2906409502029419,0.1547511368989944,-1.0,1.0
0.0333412252366542,0.9841918349266052,0.0959402248263359,1.0,1.0
0.0514953508973121,0.1030464246869087,0.7692456841468811,-1.0,-1.0
0.0038890135474503,0.0244523137807846,0.326366662979126,-1.0,-1.0
0.094041459262371,0.3249494731426239,0.808569073677063,1.0,-1.0
0.0296857114881277,0.4522580206394195,0.7533310055732727,-1.0,-1.0
0.0128255635499954,0.8553298115730286,0.0366449207067489,-1.0,1.0
0.0899754539132118,0.0334578976035118,0.1406954377889633,1.0,1.0
0.0301658865064382,0.1855811923742294,0.5801409482955933,-1.0,-1.0
0.0035376087762415,0.672453761100769,0.0360542386770248,-1.0,1.0
0.0254056844860315,0.9092775583267212,0.4859665930271148,1.0,1.0
0.0756745040416717,0.6954504251480103,0.7601062059402466,1.0,-1.0
0.0365881435573101,0.610201358795166,0.6944430470466614,1.0,-1.0
0.080842949450016,0.6941249370574951,0.7177802324295044,1.0,-1.0
0.0948950424790382,0.0817065462470054,0.8838492631912231,-1.0,-1.0
0.0512849390506744,0.6904597878456116,0.5471780896186829,1.0,1.0
0.0494719594717025,0.8501890897750854,0.9683709740638732,-1.0,-1.0
0.0127591369673609,0.4604595005512237,0.4776370227336883,-1.0,-1.0
0.0068542785011231,0.2386680096387863,0.8470287322998047,-1.0,-1.0
0.0942693427205085,0.6726114153862,0.2093218564987182,1.0,1.0
0.0494570136070251,0.6316667795181274,0.9461956024169922,-1.0,-1.0
0.0124810999259352,0.3945823013782501,0.0885292291641235,-1.0,1.0
0.0149415582418441,0.6647334694862366,0.3034294247627258,-1.0,1.0
0.004682392347604,0.4004555940628052,0.2566712200641632,-1.0,-1.0
0.006789228413254,0.0607943497598171,0.990715742111206,-1.0,-1.0
0.0905791968107223,0.8147236704826355,0.1354770064353943,1.0,1.0
0.0266935713589191,0.2557784616947174,0.3458178341388702,-1.0,-1.0
0.0322149358689785,0.0689789429306984,0.3413811326026916,-1.0,-1.0
0.0970730483531951,0.2411376535892486,0.8130030632019043,1.0,-1.0
0.0900490507483482,0.2845139503479004,0.8022775053977966,1.0,-1.0
0.0549874082207679,0.916793167591095,0.6644890308380127,1.0,1.0
0.0157685671001672,0.153054192662239,0.8192526698112488,-1.0,-1.0
0.093784213066101,0.3916174173355102,0.90417742729187,1.0,-1.0
0.0023241832386702,0.8510658144950867,0.4494256377220154,-1.0,-1.0
0.0693533644080162,0.2203017771244049,0.2513065040111542,1.0,1.0
0.0319433324038982,0.1203826740384101,0.6782432198524475,-1.0,-1.0
0.0589771643280983,0.9571027159690856,0.7833556532859802,1.0,-1.0
0.0554689466953277,0.4634744226932525,0.4917493462562561,1.0,-1.0
0.0180972162634134,0.764513373374939,0.771078884601593,-1.0,-1.0
0.0099108954891562,0.1145351454615593,0.9358845353126526,-1.0,-1.0
0.0703001841902732,0.8925856351852417,0.994475245475769,-1.0,-1.0
0.0243236646056175,0.8418656587600708,0.0507377907633781,1.0,1.0
0.0309646818786859,0.4486989378929138,0.4237927198410034,-1.0,-1.0
0.0740077123045921,0.5473633408546448,0.1957845389842987,1.0,1.0
0.0341600142419338,0.4495485723018646,0.9110121130943298,-1.0,-1.0
0.0364433601498603,0.8400721549987793,0.2362656742334365,1.0,1.0
0.0981048569083213,0.9277346134185792,0.5800452828407288,1.0,1.0
0.0392498411238193,0.6985423564910889,0.4117651879787445,1.0,1.0
0.0333115719258785,0.6134217381477356,0.9981098175048828,-1.0,-1.0
0.0773631781339645,0.8259256482124329,0.318981260061264,1.0,1.0
0.0453698150813579,0.4141686558723449,0.2783727347850799,1.0,1.0
0.0749975368380546,0.3635914325714111,0.3427664339542389,1.0,1.0
0.0362915024161338,0.9462011456489564,0.6456331610679626,1.0,-1.0
0.0324227027595043,0.0773889347910881,0.4849801361560821,-1.0,-1.0
0.0113709541037678,0.4638444185256958,0.1273263245820999,-1.0,1.0
0.0738891288638114,0.6915597915649414,0.3411211371421814,1.0,1.0
0.0144621226936578,0.2966918051242828,0.6964459419250488,-1.0,-1.0
0.0238288566470146,0.9263809323310852,0.4764967858791351,-1.0,1.0
0.0978904217481613,0.6985218524932861,0.5655290484428406,1.0,1.0
0.0941468104720115,0.0014017568901181,0.075023740530014,1.0,1.0
0.099346786737442,0.1679240614175796,0.1214442923665046,1.0,1.0
0.0970226973295211,0.6255035400390625,0.7266652584075928,1.0,1.0
0.0627572610974311,0.3473054766654968,0.5801566243171692,1.0,-1.0
0.0579951703548431,0.4173639416694641,0.1799489110708236,1.0,1.0
0.0534241460263729,0.665471076965332,0.3642869293689728,1.0,1.0
0.0298860874027013,0.9865771532058716,0.5413055419921875,1.0,1.0
