SafetyMargin,Eta,Tau,NumberOfCollisions,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy
0.07151893526315689,0.54881352186203,0.5928446054458618,0,2.6951239000000005,2.6917,0.026651270678712483,0.039824999999999555
0.07203245162963867,0.4170219898223877,0.9971848130226135,6,2.6890007000000002,2.6902,0.01957147361620989,0.025724999999999998
0.0025926230009645224,0.4359948933124542,0.1850820779800415,64,2.6405755999999996,2.6435,0.035025356595472366,0.04349999999999987
0.07081478089094162,0.5507978796958923,0.07072488218545914,0,2.7016896000000004,2.7004,0.026586230117111375,0.03379999999999983
0.05472322925925255,0.9670298099517822,0.9006214737892151,8,2.66770275,2.66825,0.027198718672715082,0.04392499999999977
0.08707322925329208,0.22199317812919617,0.05518012121319771,0,2.7099184999999997,2.7123,0.027191781069837998,0.038000000000000256
0.033197980374097824,0.8928601741790771,0.9474760890007019,10,2.6524098000000005,2.6516,0.03763742995954958,0.05194999999999972
0.07799188047647476,0.07630828768014908,0.22733907401561737,0,2.6837806,2.6897,0.03338134739102064,0.04490000000000016
0.096854068338871,0.8734294176101685,0.011114438064396381,0,2.7272184999999998,2.7259,0.023476971860740475,0.035724999999999785
0.05018745735287666,0.01037415862083435,0.3644610345363617,0,2.6591072000000002,2.65975,0.028667648458846434,0.0365000000000002
0.002075194614008069,0.771320641040802,0.29876115918159485,50,2.6442929,2.6431,0.03880973408295913,0.049049999999999816
0.0019475240260362625,0.18026968836784363,0.06830684840679169,66,2.63631545,2.6376,0.03418826284410339,0.04602499999999976
0.07400497049093246,0.15416283905506134,0.4462217390537262,0,2.68821845,2.6864,0.02991559316807039,0.03312500000000007
0.023754121735692024,0.7777023911476135,0.6073413491249084,6,2.6547106999999994,2.6563,0.02918832053253493,0.03520000000000012
0.07731650769710541,0.5139433145523071,0.9218934178352356,0,2.6855551500000003,2.68615,0.022514773227316768,0.028499999999999748
0.017889592796564102,0.8488177061080933,0.8135804533958435,43,2.62993385,2.6289,0.030329408322245593,0.04179999999999984
