meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,y_true,y_conformal
2.68348225,2.6852,0.0219647729316171,0.02665,1.0,1.0
2.712734,2.7096,0.0242388457645986,0.0349249999999998,1.0,1.0
2.6479939000000003,2.6431,0.029251811273663,0.0457,-1.0,-1.0
2.6789848000000003,2.6771,0.0328956770558078,0.0415249999999995,-1.0,1.0
2.68826315,2.6912,0.0248006533598915,0.0330249999999998,1.0,1.0
2.67332945,2.6784,0.0345950623311694,0.0485499999999996,1.0,1.0
2.70876605,2.7087,0.0264255134746233,0.0312999999999998,1.0,1.0
2.6498263,2.6503,0.0401297221309841,0.05545,-1.0,-1.0
2.7020087000000004,2.7041500000000003,0.0333410904787171,0.0461999999999998,1.0,1.0
2.693229,2.6919,0.0240618721008985,0.0345249999999999,1.0,1.0
2.68572275,2.6872,0.0246049457922081,0.0338000000000002,-1.0,1.0
2.6817124000000003,2.6781,0.0263545786579865,0.0329999999999999,1.0,1.0
2.70103355,2.702,0.0238795041698419,0.0331249999999996,1.0,1.0
2.7009293,2.6999,0.0257723679841414,0.0325999999999999,1.0,1.0
2.70880855,2.70675,0.0253161760915328,0.0333249999999996,1.0,1.0
2.69710095,2.6967,0.0312852908584449,0.0449250000000001,1.0,1.0
2.6298294,2.6271500000000003,0.0444222908643847,0.0621999999999998,-1.0,-1.0
2.6928647,2.6943,0.0238657525318184,0.0256250000000002,1.0,1.0
2.6782608,2.67625,0.0317163384292701,0.0449250000000001,1.0,1.0
2.68559015,2.6838,0.0325881679137919,0.0501,1.0,1.0
2.65522765,2.65295,0.0287024601816203,0.039225,-1.0,-1.0
2.6240971,2.6251,0.0330779482675392,0.0433500000000002,-1.0,-1.0
2.6712978,2.6687,0.032893498220165,0.0454250000000002,1.0,-1.0
2.6571155500000003,2.6582,0.024780511560448,0.0311499999999997,-1.0,-1.0
2.6530512,2.654,0.0321741052487866,0.0421,-1.0,-1.0
2.6579823,2.65785,0.0340719698096543,0.04665,-1.0,-1.0
2.67766995,2.67685,0.0356515337958621,0.0505749999999998,1.0,1.0
2.68371655,2.6856,0.0285590490229891,0.0377999999999998,1.0,1.0
2.6986541500000003,2.6984,0.0239960143102453,0.0319250000000002,1.0,1.0
2.64800315,2.65135,0.0347533649461098,0.0424500000000001,-1.0,-1.0
2.6540207,2.6556,0.0295875425054194,0.0362,1.0,-1.0
2.6443972,2.6454,0.0356592627820598,0.0414999999999996,-1.0,-1.0
2.68789155,2.6867,0.023903742460073,0.0326249999999999,-1.0,1.0
2.6836942,2.68335,0.0325247253079868,0.0421249999999999,1.0,1.0
2.68034495,2.6776,0.0312360788912036,0.0442999999999997,1.0,1.0
2.68913835,2.6911,0.0349472075318973,0.0460249999999997,1.0,1.0
2.69600115,2.6968,0.0270872180867194,0.0294999999999996,1.0,1.0
2.66356685,2.6664,0.032219091173984,0.032925,-1.0,-1.0
2.65542485,2.6555,0.0268596149912373,0.0343249999999999,-1.0,-1.0
2.687509,2.68905,0.0276491838758398,0.0386999999999999,1.0,1.0
2.65700985,2.6592,0.0256127401497282,0.0307249999999998,-1.0,-1.0
2.70301495,2.7024,0.0269809431172726,0.0398499999999999,1.0,1.0
2.6561393,2.65625,0.034140692955914,0.0450249999999998,1.0,-1.0
2.6442316,2.6418,0.0372733166144361,0.0602,-1.0,-1.0
2.6613505500000003,2.6613,0.0228901743046552,0.0296499999999997,-1.0,-1.0
2.6634354000000005,2.66395,0.0322495742117628,0.0404249999999999,-1.0,-1.0
2.6429994000000003,2.6388,0.0287719218968771,0.0383999999999997,-1.0,-1.0
2.64627095,2.6432,0.0366789578791096,0.0394000000000001,-1.0,-1.0
2.66113175,2.66485,0.0281668453494085,0.0373499999999995,-1.0,-1.0
2.6977974,2.6981,0.0233857051046146,0.032925,-1.0,1.0
2.64515135,2.64465,0.0305962597089497,0.0358,-1.0,-1.0
2.70533685,2.70475,0.0265787427670591,0.0381,1.0,1.0
2.65495875,2.6508,0.0394584516097312,0.0424999999999999,-1.0,-1.0
2.67995635,2.6799,0.0240045699748506,0.0311249999999998,-1.0,1.0
2.691425,2.6917,0.0242385452327486,0.0288999999999997,1.0,1.0
2.688545,2.6896,0.0219334993788041,0.031025,1.0,1.0
2.6761819,2.6768,0.0232247349261514,0.0347249999999998,1.0,1.0
2.63606905,2.63285,0.041690133690089,0.0629499999999998,-1.0,-1.0
2.6487072999999994,2.65125,0.0305012774602966,0.0426250000000001,-1.0,-1.0
2.63653675,2.6357,0.040270612168646,0.0591249999999998,-1.0,-1.0
2.6658985000000004,2.66385,0.0362063052209142,0.0549000000000003,1.0,-1.0
2.6482498,2.64855,0.0346905899338711,0.0553499999999997,-1.0,-1.0
2.6481521,2.64745,0.0304429186444072,0.035625,-1.0,-1.0
2.62554715,2.6284,0.0472358265713377,0.0691999999999999,-1.0,-1.0
2.64849225,2.6492500000000003,0.0300730052528426,0.04265,-1.0,-1.0
2.68514705,2.6848,0.0253632754449716,0.0336000000000002,1.0,1.0
2.6586168500000005,2.6595,0.030774956719344,0.0419249999999999,-1.0,-1.0
2.667395,2.66915,0.0269212145899846,0.0317249999999997,-1.0,-1.0
2.6876873,2.6877,0.0217813720575633,0.0257,1.0,1.0
2.69590005,2.69325,0.0282775114710877,0.0349999999999997,-1.0,1.0
2.68107985,2.683,0.0305308396376106,0.0449249999999996,-1.0,1.0
2.68273935,2.6824,0.0202257352543115,0.0261249999999999,-1.0,1.0
2.6854426000000005,2.6839,0.0311833025069507,0.0436249999999995,-1.0,1.0
