NumberOfCollisions,meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy
0,2.6951239000000005,2.6917,0.0266512706787124,0.0398249999999995
6,2.6890007,2.6902,0.0195714736162098,0.0257249999999999
64,2.6405756,2.6435,0.0350253565954723,0.0434999999999998
0,2.7016896000000004,2.7004,0.0265862301171113,0.0337999999999998
8,2.66770275,2.66825,0.027198718672715,0.0439249999999997
0,2.7099185,2.7123,0.0271917810698379,0.0380000000000002
10,2.6524098000000005,2.6516,0.0376374299595495,0.0519499999999997
0,2.6837806,2.6897,0.0333813473910206,0.0449000000000001
0,2.7272185,2.7259,0.0234769718607404,0.0357249999999997
0,2.6591072,2.65975,0.0286676484588464,0.0365000000000002
50,2.6442929,2.6431,0.0388097340829591,0.0490499999999998
66,2.63631545,2.6376,0.0341882628441033,0.0460249999999997
0,2.68821845,2.6864,0.0299155931680703,0.033125
6,2.6547106999999994,2.6563,0.0291883205325349,0.0352000000000001
0,2.6855551500000003,2.68615,0.0225147732273167,0.0284999999999997
43,2.62993385,2.6289,0.0303294083222455,0.0417999999999998
4,2.670809600000001,2.6711,0.0292033910332344,0.0466250000000001
0,2.6834041500000003,2.68075,0.030556708392389,0.0440249999999999
0,2.68803675,2.68765,0.0280416048834138,0.0385249999999999
5,2.68868915,2.68665,0.0247912893427812,0.0332000000000003
0,2.6995835,2.7007,0.0291297467848589,0.0319250000000002
56,2.64906895,2.65135,0.0280822477892618,0.0435249999999998
15,2.66090615,2.6618,0.0290992557839113,0.0422249999999997
0,2.69973355,2.702,0.0205901777407942,0.0304000000000002
0,2.7031705,2.70345,0.0232178784506681,0.0315250000000002
0,2.67168715,2.67505,0.0311583366031869,0.0366249999999999
11,2.6629346000000007,2.66255,0.0317883950969532,0.0395249999999998
0,2.6978617,2.69785,0.0255702227817827,0.0369250000000001
0,2.6914744,2.69345,0.0282737338291213,0.0352000000000001
5,2.65587265,2.65715,0.0336328432782228,0.044
5,2.654257,2.6548,0.0334681636932772,0.0445249999999997
0,2.7236324,2.7236,0.022317845331483,0.0292249999999998
0,2.68942235,2.69115,0.0309923397870748,0.0360249999999999
1,2.66008245,2.6619,0.0276535686123418,0.0329999999999999
0,2.70066875,2.6999,0.0303071621640413,0.0442
0,2.6727867,2.6746,0.0310671346137682,0.0437249999999997
0,2.7040561000000003,2.7025,0.0304315097027735,0.0424249999999997
0,2.6919460500000003,2.6908,0.0287419594738685,0.0425249999999999
21,2.68379105,2.6833,0.024411162096416,0.0309249999999998
0,2.6900326000000003,2.69,0.0247220071442429,0.036
107,2.6499298,2.647,0.0295301568224755,0.035625
146,2.6493384,2.6484,0.0339591609943473,0.0439249999999997
0,2.7032358000000003,2.7026,0.0216904527006699,0.027625
0,2.6751811,2.67435,0.0327413677599149,0.0391999999999996
9,2.65879505,2.6609,0.0327960557155506,0.0486499999999998
0,2.6852278,2.68225,0.031013025121068,0.0436
0,2.69355335,2.6943,0.020323890591555,0.0286249999999999
0,2.6909092,2.68925,0.0242184940770478,0.032775
0,2.6980117,2.69815,0.0266966762558562,0.0357249999999997
5,2.61446925,2.6077,0.0490178664308994,0.0662249999999997
1,2.6571897000000004,2.6556,0.0322881280645069,0.0386999999999999
39,2.64348935,2.64365,0.0266657330965698,0.0342250000000001
143,2.63415635,2.63345,0.0277968287701582,0.0386499999999996
0,2.67376535,2.6735,0.0285089204351462,0.03465
0,2.67364615,2.6758,0.0310519199918056,0.0406499999999998
0,2.70908035,2.7097,0.0207700067134678,0.0282
0,2.6865924,2.6886,0.03130514913301,0.0424000000000002
44,2.65493915,2.6577,0.0319350657158788,0.037325
27,2.6522459000000005,2.6513,0.0270534774694492,0.0381
39,2.655202,2.6543,0.0271154728153502,0.035025
70,2.6561698,2.65815,0.0352563547174122,0.0454250000000002
36,2.6490721999999995,2.64655,0.0310894488075938,0.0394999999999998
1,2.66362325,2.6643,0.0279712458506499,0.033125
0,2.6533243,2.6522,0.0315913063913159,0.0410499999999998
11,2.6640605,2.6645,0.0301497422833098,0.0456000000000003
291,2.63344595,2.63195,0.033169021896907,0.048
40,2.6405727500000005,2.6391,0.0300808677141717,0.0428999999999999
0,2.69187635,2.691,0.0244902600165351,0.0318
87,2.6500464000000004,2.6504000000000003,0.0337924628732503,0.0502250000000001
0,2.6955175,2.6976500000000003,0.028284093475839,0.0422500000000001
0,2.70271985,2.703,0.0218189110859708,0.0310000000000001
12,2.6712452000000004,2.672,0.03020629796847,0.0417249999999995
3,2.6781759000000003,2.67825,0.0233281405000484,0.0279249999999997
0,2.68411585,2.68705,0.0307508602119924,0.0400249999999999
0,2.69823835,2.6972,0.025116507605109,0.0339999999999998
157,2.6259629,2.6272,0.0350350854657156,0.0495499999999995
0,2.69305435,2.69715,0.025290048261668,0.0339249999999999
0,2.6986516000000003,2.7,0.0275382631522033,0.0386000000000001
18,2.680644,2.679,0.0242726649546357,0.0329999999999999
0,2.67902905,2.6768,0.0381711025659136,0.0554749999999995
0,2.68549395,2.6847,0.0231643922518485,0.0303499999999998
2,2.6618903,2.6628,0.0296206113358586,0.0358
0,2.69687755,2.6977,0.0324834110123536,0.044
2,2.6885345500000004,2.6871,0.0254418710258797,0.0361500000000001
26,2.66573105,2.6645,0.0290486065224736,0.0340250000000001
2,2.6685724,2.66905,0.0310408102059208,0.0444249999999999
173,2.64017565,2.64,0.028680917734227,0.0379249999999999
0,2.6937516500000003,2.69315,0.0239317570871321,0.0333249999999996
0,2.6824456,2.6797,0.0263772879697667,0.0316999999999998
2,2.6597962500000003,2.6594,0.0276798155871295,0.0320249999999999
131,2.6482914,2.6475,0.0395755330480841,0.0468250000000001
52,2.65923555,2.659,0.0290112264683432,0.0361499999999996
0,2.6810368,2.6806,0.0264287361740965,0.0348249999999996
0,2.68001975,2.68035,0.0278567945919393,0.0410499999999998
0,2.6839995,2.68305,0.0279393228219654,0.0400499999999999
26,2.6488316,2.64625,0.0376650935408369,0.061125
0,2.6895265000000004,2.6883,0.0234014112341542,0.0294250000000002
0,2.6978398500000003,2.7009,0.0281652686295994,0.0405000000000002
0,2.68411545,2.6849,0.024180488752246,0.0299
0,2.6701404,2.6687,0.0236914317389219,0.0349249999999998
32,2.65194835,2.6492500000000003,0.0355365017591419,0.0514249999999996
0,2.6845307000000003,2.68415,0.0223506907613612,0.0283999999999999
0,2.692724,2.6921,0.024533296231856,0.0351249999999998
8,2.6552387,2.65675,0.0298564656701023,0.0410999999999996
1,2.6624419,2.6574,0.0345691660933555,0.0454500000000002
1,2.6596453500000004,2.6588,0.0274683472086964,0.0350499999999995
0,2.69473675,2.6955,0.0243199423197815,0.0273499999999997
0,2.69496715,2.6931,0.0220703438096804,0.0299499999999999
293,2.63863145,2.6343,0.0358334609812881,0.0456249999999998
0,2.66866875,2.66445,0.0270276034534603,0.0364249999999999
3,2.6787425,2.67885,0.0256263503790531,0.0337999999999998
0,2.66239675,2.6646,0.0316688857466993,0.0470999999999999
17,2.6789848000000003,2.6771,0.0328956770558078,0.0415249999999995
1,2.6527253,2.6523,0.0381023223689842,0.0522499999999999
0,2.7020557,2.7037,0.0231560676175813,0.0284499999999998
0,2.6892719,2.6882,0.0262949341202825,0.0362999999999997
12,2.6641254,2.665,0.0302133570600818,0.0438
31,2.6527887,2.6493,0.0335320928710094,0.0374249999999998
0,2.69324935,2.693,0.0284634397003858,0.0383499999999998
0,2.6845966500000005,2.68445,0.0232637085129929,0.0283499999999996
0,2.67712515,2.67495,0.0323984098757562,0.0410749999999997
87,2.6470481500000003,2.64935,0.0293015435869426,0.0389749999999997
11,2.6726594500000003,2.6719,0.0290879072931948,0.0364749999999998
19,2.65006625,2.65095,0.0304867209771319,0.04135
0,2.6822076,2.6836,0.0211669918089463,0.0258250000000002
244,2.6281421,2.6252,0.0520015884141052,0.0721250000000002
271,2.6170852000000004,2.62095,0.0321847226329511,0.0474499999999999
25,2.648637550000001,2.64145,0.047121070923712,0.075075
40,2.6528251,2.64815,0.03606874394805,0.0518499999999999
1,2.66509915,2.66175,0.0302781298015168,0.0399249999999997
35,2.6583364,2.65735,0.0296293677799577,0.0390000000000001
0,2.6957857999999995,2.6945,0.021108743647124,0.0286249999999999
0,2.6792627,2.6783,0.0330468234284325,0.0437250000000002
43,2.64630585,2.6446,0.0393533332867433,0.0507499999999998
0,2.67799365,2.67855,0.0264204565569465,0.0335999999999998
0,2.6731888,2.6749,0.0261392818294611,0.0334000000000003
200,2.63835075,2.6378,0.0372360248877011,0.0579249999999995
36,2.6366613,2.6314,0.0302113715728035,0.0357250000000002
4,2.6740041000000003,2.6754,0.0272253090559134,0.0313000000000003
0,2.6969322,2.6992,0.0321365252191334,0.0413249999999996
3,2.65830695,2.6584,0.0298774717253234,0.0402
0,2.6855874,2.6889,0.029700296820739,0.0441499999999996
0,2.6857881,2.68245,0.0306786744888041,0.0409250000000001
0,2.65307765,2.6548,0.0296880950126056,0.0429999999999997
0,2.7039552,2.7045,0.0254739738352696,0.0364999999999997
61,2.641111,2.6377,0.0334297913394624,0.0436999999999998
1,2.6756298000000003,2.6733,0.026609309122185,0.0393000000000003
0,2.68307615,2.6806,0.0274145475282285,0.0349499999999998
9,2.6662838,2.66925,0.0315802798841302,0.043425
0,2.7128857500000003,2.714,0.0233879890528771,0.0289999999999999
9,2.64627095,2.6432,0.0366789578791096,0.0394000000000001
0,2.6493593,2.64975,0.0292149055023287,0.037125
0,2.7022267,2.7032,0.0217632983968423,0.0290999999999996
6,2.67420375,2.6775,0.0253110106660619,0.0365999999999999
0,2.68220755,2.6827,0.0209247625553433,0.0268250000000001
0,2.7028604000000005,2.7039,0.026236372878887,0.0351250000000002
4,2.6747689,2.67465,0.0249259860946362,0.0325000000000001
0,2.6953032,2.6933,0.0256305033068022,0.0377
17,2.6562685,2.6537,0.0255408394096591,0.0362249999999999
1,2.6573157000000003,2.65715,0.0330306972907021,0.0489000000000001
7,2.663036850000001,2.66125,0.0290355590109351,0.0315249999999998
0,2.67346145,2.6755,0.0250202393852956,0.0286999999999997
0,2.69265395,2.6927,0.0218040256465979,0.0301
0,2.6755996,2.6771,0.0266058219162648,0.0385499999999998
2,2.67853785,2.6777,0.024691018455655,0.0313499999999997
