Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
458,SafetyMargin > 0.08,0.2507,0.8288159771754636,1.0,1.0,1.0
459,Eta <= 0.25,0.247,0.7301066447908121,-1.0,-1.0,-1.0
460,SafetyMargin <= 0.02,0.2533,0.85,-1.0,-1.0,-1.0
461,SafetyMargin > 0.08,0.2446,0.8478802992518704,1.0,1.0,1.0
462,Tau > 0.75,0.2541,0.85785536159601,-1.0,-1.0,-1.0
463,Tau <= 0.25,0.2569,0.8601997146932953,1.0,1.0,1.0
464,SafetyMargin <= 0.02,0.2447,0.8537735849056604,-1.0,-1.0,-1.0
465,SafetyMargin > 0.08,0.2515,0.8404761904761905,1.0,1.0,1.0
466,Tau > 0.75,0.2529,0.8254364089775561,-1.0,-1.0,1.0
467,Tau <= 0.51,0.5029,0.7482352941176471,1.0,1.0,1.0
468,Tau <= 0.25,0.2459,0.8841463414634146,1.0,1.0,1.0
469,SafetyMargin > 0.05,0.5032,0.7413249211356467,1.0,1.0,1.0
470,SafetyMargin > 0.08,0.2539,0.8174037089871612,1.0,1.0,1.0
471,Tau <= 0.25,0.2578,0.8691588785046729,1.0,1.0,1.0
472,Tau > 0.75,0.2518,0.8522954091816367,-1.0,-1.0,-1.0
473,Tau <= 0.25,0.2503,0.8888888888888888,1.0,1.0,1.0
474,Eta <= 0.25,0.2502,0.7328339575530587,-1.0,-1.0,-1.0
475,Tau > 0.75,0.2514,0.8386023294509152,-1.0,-1.0,-1.0
476,SafetyMargin <= 0.02,0.2474,0.8157602663706992,-1.0,-1.0,-1.0
477,Eta > 0.74,0.2537,0.7002497918401333,1.0,1.0,1.0
478,Eta <= 0.25,0.2544,0.7371252882398155,-1.0,-1.0,-1.0
479,Tau > 0.75,0.2474,0.832408435072142,-1.0,-1.0,-1.0
480,Tau > 0.51,0.5017,0.7573913043478261,-1.0,-1.0,-1.0
481,Tau <= 0.25,0.2487,0.8853211009174312,1.0,1.0,1.0
482,Tau > 0.75,0.2503,0.8231132075471698,-1.0,-1.0,-1.0
483,Tau <= 0.25,0.2555,0.8504983388704319,1.0,1.0,1.0
484,Tau > 0.51,0.4981,0.7574931880108992,-1.0,-1.0,-1.0
485,Tau <= 0.25,0.2454,0.8602794411177644,1.0,1.0,1.0
486,SafetyMargin > 0.08,0.2488,0.833969465648855,1.0,1.0,1.0
487,SafetyMargin <= 0.02,0.2496,0.8128019323671497,-1.0,-1.0,-1.0
488,Tau > 0.75,0.256,0.8528678304239401,-1.0,-1.0,-1.0
489,Tau > 0.75,0.2452,0.8119800332778702,-1.0,-1.0,1.0
491,SafetyMargin > 0.05,0.4999,0.7251381215469613,1.0,1.0,1.0
492,Tau <= 0.25,0.2513,0.8617424242424242,1.0,1.0,1.0
493,SafetyMargin <= 0.02,0.2481,0.8151848151848152,-1.0,-1.0,-1.0
494,Tau <= 0.25,0.2502,0.8618968386023295,1.0,1.0,1.0
495,SafetyMargin <= 0.05,0.503,0.750402576489533,-1.0,-1.0,-1.0
496,Tau > 0.75,0.2509,0.8274760383386581,-1.0,-1.0,-1.0
497,Tau <= 0.25,0.2444,0.8875379939209727,1.0,1.0,1.0
498,SafetyMargin <= 0.02,0.2487,0.8301526717557252,-1.0,-1.0,-1.0
499,Tau <= 0.25,0.251,0.8927680798004988,1.0,1.0,-1.0
500,SafetyMargin > 0.08,0.2502,0.818830242510699,1.0,1.0,1.0
501,Tau <= 0.25,0.2431,0.8569051580698835,1.0,1.0,-1.0
502,SafetyMargin > 0.05,0.4953,0.7465224111282844,1.0,1.0,1.0
503,SafetyMargin <= 0.05,0.505,0.728440366972477,-1.0,-1.0,1.0
504,Tau <= 0.25,0.2484,0.8635514018691589,1.0,1.0,1.0
505,Tau <= 0.25,0.2525,0.8668885191347754,1.0,1.0,1.0
506,SafetyMargin <= 0.02,0.2455,0.832408435072142,-1.0,-1.0,-1.0
507,Tau > 0.75,0.2465,0.8430555555555556,-1.0,-1.0,-1.0
508,Tau > 0.75,0.2526,0.8214731585518102,-1.0,-1.0,-1.0
509,Tau <= 0.25,0.2516,0.8854489164086687,1.0,1.0,1.0
510,SafetyMargin <= 0.02,0.2539,0.8423153692614771,-1.0,-1.0,-1.0
511,Tau <= 0.51,0.5016,0.7466666666666667,1.0,1.0,1.0
512,Tau > 0.51,0.5059,0.7340324118207817,-1.0,-1.0,-1.0
513,Tau > 0.75,0.2436,0.8147632311977716,-1.0,-1.0,-1.0
514,Tau <= 0.25,0.2447,0.8788461538461538,1.0,1.0,1.0
515,Tau > 0.75,0.2489,0.8489388264669163,-1.0,-1.0,-1.0
516,SafetyMargin > 0.08,0.2501,0.8403193612774451,1.0,1.0,1.0
517,SafetyMargin <= 0.02,0.2528,0.852760736196319,-1.0,-1.0,-1.0
518,SafetyMargin <= 0.02,0.2555,0.8419301164725458,-1.0,-1.0,-1.0
519,Tau <= 0.25,0.2369,0.8709677419354839,1.0,1.0,1.0
520,SafetyMargin <= 0.05,0.5022,0.7275204359673024,-1.0,-1.0,-1.0
521,SafetyMargin > 0.08,0.2474,0.8442367601246106,1.0,1.0,1.0
522,Tau <= 0.25,0.2449,0.870216306156406,1.0,1.0,1.0
523,Tau <= 0.25,0.2472,0.8877805486284289,1.0,1.0,1.0
524,SafetyMargin > 0.08,0.2385,0.8288159771754636,1.0,1.0,1.0
525,Tau > 0.75,0.2546,0.8481308411214953,-1.0,-1.0,1.0
526,SafetyMargin > 0.08,0.2557,0.8502139800285307,1.0,1.0,1.0
527,SafetyMargin <= 0.02,0.2522,0.8130277442702051,-1.0,-1.0,-1.0
528,SafetyMargin > 0.08,0.244,0.844311377245509,1.0,1.0,1.0
529,Tau <= 0.25,0.2514,0.8641686182669789,1.0,1.0,1.0
530,SafetyMargin <= 0.05,0.5038,0.7408993576017131,-1.0,-1.0,1.0
531,SafetyMargin > 0.05,0.4981,0.7574334898278561,1.0,1.0,-1.0
532,Tau > 0.75,0.2504,0.8445078459343794,-1.0,-1.0,-1.0
533,SafetyMargin > 0.05,0.5071,0.7166469893742621,1.0,1.0,1.0
534,Tau <= 0.25,0.2487,0.8639200998751561,1.0,1.0,1.0
535,SafetyMargin > 0.08,0.2457,0.831946755407654,1.0,1.0,1.0
536,Tau > 0.75,0.2553,0.8522954091816367,-1.0,-1.0,-1.0
537,Tau > 0.75,0.2532,0.8412874583795783,-1.0,-1.0,-1.0
538,SafetyMargin <= 0.02,0.2475,0.8136942675159236,-1.0,-1.0,-1.0
539,SafetyMargin <= 0.02,0.239,0.8568019093078759,-1.0,-1.0,-1.0
540,Eta <= 0.25,0.2499,0.7255163224516988,-1.0,-1.0,1.0
541,Tau <= 0.25,0.2552,0.8902195608782435,1.0,1.0,1.0
542,Tau > 0.75,0.2589,0.8383977900552486,-1.0,-1.0,-1.0
544,SafetyMargin > 0.05,0.5042,0.7194465795541891,1.0,1.0,1.0
545,Tau > 0.75,0.2491,0.8522954091816367,-1.0,-1.0,-1.0
546,SafetyMargin > 0.08,0.2555,0.8279742765273312,1.0,1.0,1.0
547,Tau <= 0.25,0.2561,0.8658367911479945,1.0,1.0,1.0
548,Tau > 0.75,0.256,0.827930174563591,-1.0,-1.0,-1.0
549,SafetyMargin <= 0.02,0.2449,0.8248175182481752,-1.0,-1.0,-1.0
550,SafetyMargin > 0.08,0.2527,0.8355387523629489,1.0,1.0,1.0
551,Eta <= 0.25,0.2485,0.7252155172413793,-1.0,-1.0,-1.0
552,SafetyMargin > 0.08,0.257,0.8478802992518704,1.0,1.0,1.0
553,SafetyMargin > 0.05,0.5008,0.7476014760147601,1.0,1.0,1.0
554,Tau > 0.75,0.247,0.8526841448189763,-1.0,-1.0,1.0
555,Tau > 0.75,0.2509,0.844311377245509,-1.0,-1.0,-1.0
556,Eta <= 0.25,0.2521,0.7479892761394102,-1.0,-1.0,1.0
557,Tau <= 0.51,0.5029,0.7717546362339515,1.0,1.0,1.0
558,Tau > 0.51,0.5014,0.7552447552447552,-1.0,-1.0,-1.0
559,SafetyMargin > 0.08,0.2565,0.8088077336197637,1.0,1.0,1.0
560,Tau <= 0.25,0.2449,0.8642714570858283,1.0,1.0,1.0
561,Tau > 0.75,0.2594,0.8445078459343794,-1.0,-1.0,-1.0
562,Tau > 0.51,0.5079,0.7553763440860215,-1.0,-1.0,1.0
563,Tau <= 0.51,0.4995,0.7336357744653272,1.0,1.0,1.0
564,Tau <= 0.25,0.2562,0.8542914171656687,1.0,1.0,1.0
565,Tau <= 0.25,0.2485,0.8449848024316109,1.0,1.0,1.0
566,SafetyMargin > 0.08,0.2491,0.8390804597701149,1.0,1.0,1.0
567,Tau > 0.75,0.255,0.8316690442225392,-1.0,-1.0,-1.0
568,SafetyMargin <= 0.02,0.2485,0.8285714285714286,-1.0,-1.0,-1.0
569,Tau > 0.75,0.2472,0.85,-1.0,-1.0,-1.0
570,SafetyMargin > 0.08,0.2528,0.8559201141226819,1.0,1.0,-1.0
571,SafetyMargin <= 0.05,0.5021,0.7576045627376425,-1.0,-1.0,-1.0
572,SafetyMargin > 0.08,0.2464,0.8323353293413174,1.0,1.0,1.0
573,Tau <= 0.51,0.5007,0.7462537462537463,1.0,1.0,1.0
574,Tau > 0.75,0.2461,0.8401997503121099,-1.0,-1.0,-1.0
575,SafetyMargin > 0.05,0.5081,0.7175355450236967,1.0,1.0,1.0
576,Eta > 0.74,0.246,0.6681659170414792,1.0,1.0,1.0
577,SafetyMargin <= 0.02,0.2534,0.8397590361445784,-1.0,-1.0,-1.0
578,SafetyMargin <= 0.02,0.2449,0.8734567901234568,-1.0,-1.0,1.0
579,Tau > 0.75,0.2536,0.8352,-1.0,-1.0,-1.0
580,SafetyMargin > 0.08,0.2539,0.8753117206982544,1.0,1.0,1.0
581,Eta <= 0.25,0.2504,0.7420212765957447,-1.0,-1.0,1.0
582,SafetyMargin > 0.08,0.2529,0.8302122347066168,1.0,1.0,-1.0
583,SafetyMargin <= 0.02,0.2488,0.8198757763975155,-1.0,-1.0,1.0
584,Tau <= 0.25,0.2473,0.870216306156406,1.0,1.0,1.0
585,SafetyMargin <= 0.05,0.5005,0.7269700332963374,-1.0,-1.0,1.0
586,SafetyMargin <= 0.02,0.2532,0.8456057007125891,-1.0,-1.0,-1.0
587,Tau <= 0.25,0.2536,0.8517350157728707,1.0,1.0,1.0
588,SafetyMargin > 0.08,0.2472,0.8285714285714286,1.0,1.0,1.0
589,Tau > 0.75,0.2453,0.8508604206500956,-1.0,-1.0,-1.0
590,Tau > 0.75,0.2472,0.8184713375796179,-1.0,-1.0,-1.0
591,SafetyMargin <= 0.05,0.4966,0.7306889352818372,-1.0,-1.0,1.0
592,SafetyMargin <= 0.02,0.248,0.8243512974051896,-1.0,-1.0,-1.0
593,SafetyMargin > 0.05,0.5069,0.7275149900066622,1.0,1.0,1.0
594,Tau > 0.75,0.2556,0.8573466476462197,-1.0,-1.0,-1.0
595,SafetyMargin > 0.05,0.4936,0.727853152434158,1.0,1.0,1.0
596,Tau <= 0.25,0.2465,0.8882235528942116,1.0,1.0,1.0
597,SafetyMargin > 0.08,0.2532,0.8211764705882353,1.0,1.0,-1.0
598,Tau > 0.51,0.5015,0.710955710955711,-1.0,-1.0,-1.0
599,Tau > 0.75,0.2496,0.8460076045627376,-1.0,-1.0,-1.0
600,SafetyMargin > 0.08,0.2445,0.8553615960099751,1.0,1.0,1.0
601,SafetyMargin > 0.08,0.2476,0.8474903474903475,1.0,1.0,1.0
