Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
148,SafetyMargin <= 0.02,0.2466,0.7865168539325843,-1.0,-1.0,-1.0
149,SafetyMargin > 0.08,0.2425,0.83645443196005,1.0,1.0,1.0
150,SafetyMargin > 0.08,0.25,0.8562874251497006,1.0,1.0,1.0
151,Tau > 0.75,0.2417,0.8273894436519258,-1.0,-1.0,-1.0
152,Tau > 0.75,0.2472,0.8414481897627965,-1.0,-1.0,-1.0
153,Tau <= 0.25,0.2498,0.8985024958402662,1.0,1.0,1.0
154,Tau > 0.51,0.4976,0.7045045045045045,-1.0,-1.0,1.0
155,Tau > 0.75,0.2511,0.8123287671232877,-1.0,-1.0,-1.0
156,SafetyMargin <= 0.02,0.2481,0.7961165048543689,-1.0,-1.0,-1.0
157,Tau > 0.51,0.5085,0.7092907092907093,-1.0,-1.0,-1.0
158,Tau <= 0.25,0.2515,0.8997668997668997,1.0,1.0,1.0
159,SafetyMargin <= 0.02,0.254,0.7852684144818977,-1.0,-1.0,-1.0
160,SafetyMargin <= 0.05,0.5142,0.706630336058129,-1.0,-1.0,-1.0
161,Tau > 0.75,0.2572,0.8024096385542169,-1.0,-1.0,-1.0
162,Tau <= 0.25,0.2554,0.9013732833957553,1.0,1.0,-1.0
163,SafetyMargin <= 0.05,0.4893,0.6961367013372957,-1.0,-1.0,-1.0
164,SafetyMargin <= 0.02,0.2461,0.8132205995388163,-1.0,-1.0,-1.0
165,Eta <= 0.25,0.2478,0.7109915449654112,-1.0,-1.0,1.0
166,Eta > 0.74,0.249,0.7048794826572604,1.0,1.0,1.0
167,Tau > 0.75,0.2508,0.807909604519774,-1.0,-1.0,-1.0
168,Tau <= 0.25,0.2477,0.8827930174563591,1.0,1.0,1.0
169,Eta <= 0.25,0.2559,0.7138193688792165,-1.0,-1.0,-1.0
170,SafetyMargin <= 0.02,0.2485,0.7779291553133515,-1.0,-1.0,-1.0
171,Tau > 0.75,0.2476,0.8236272878535774,-1.0,-1.0,-1.0
172,Tau <= 0.25,0.2485,0.9074074074074074,1.0,1.0,1.0
173,Tau > 0.75,0.2495,0.8064918851435705,-1.0,-1.0,-1.0
174,Tau <= 0.25,0.249,0.8943661971830986,1.0,1.0,1.0
175,Tau > 0.75,0.2475,0.8229426433915212,-1.0,-1.0,-1.0
176,SafetyMargin <= 0.02,0.2537,0.84,-1.0,-1.0,-1.0
177,Tau <= 0.25,0.2505,0.9013452914798207,1.0,1.0,1.0
178,Tau <= 0.25,0.2477,0.8877805486284289,1.0,1.0,1.0
179,Tau > 0.75,0.2414,0.7952559300873908,-1.0,-1.0,-1.0
180,SafetyMargin > 0.08,0.2699,0.8552412645590682,1.0,1.0,1.0
