meanEntropy,medianEntropy,stdsEntropy,iqrsEntropy,y_true,y_conformal
2.74990875,2.7533,0.0260783444343673,0.0374249999999998,-1.0,-1.0
2.770799655469423,2.7816,0.0213499462903222,0.0294999999999996,-1.0,-1.0
2.7589963,2.7582500000000003,0.0281212899119154,0.0344000000000002,-1.0,-1.0
2.7519659,2.7546,0.020067929569091,0.0250499999999997,1.0,-1.0
2.7842311033883576,2.7837,0.027460365348493,0.0297500000000003,-1.0,-1.0
2.76505665,2.76765,0.0245459635332879,0.0301,-1.0,-1.0
2.7332471000000003,2.733,0.0218908408150532,0.0282,1.0,1.0
2.73264685,2.7331,0.022437666992749,0.0291999999999998,1.0,1.0
2.76222865,2.7624500000000003,0.022053004878644,0.033525,-1.0,-1.0
2.73102705,2.7298,0.0224294537003802,0.0299249999999999,1.0,1.0
2.7638173,2.76745,0.0217878085339026,0.0326249999999999,1.0,-1.0
2.8109363,2.82215,0.0242252327606981,0.0408249999999998,-1.0,-1.0
2.7273796000000003,2.726,0.0240650766431357,0.0333999999999998,1.0,1.0
2.7174279,2.72255,0.0294699610042158,0.0356999999999998,1.0,1.0
2.784245250000001,2.7862,0.0285672688130577,0.0491999999999999,-1.0,-1.0
2.71781045,2.71655,0.0197466869574999,0.0269249999999998,1.0,1.0
2.74652435,2.7471,0.0189679733255163,0.0285999999999999,1.0,-1.0
2.798243163538874,2.80085,0.019637061793714,0.0363999999999999,-1.0,-1.0
2.7962942,2.7963,0.019520557788137,0.0165000000000001,-1.0,-1.0
2.7753944,2.7751,0.0265192156490345,0.0358249999999999,-1.0,-1.0
2.7449969499999995,2.7464,0.0248059236009768,0.0241249999999997,1.0,-1.0
2.6757711500000005,2.6711,0.0319929577044308,0.0417499999999999,1.0,1.0
2.79944195,2.8055,0.0112412314804695,0.0118999999999998,-1.0,-1.0
2.75489575,2.75885,0.0267085457660558,0.0445999999999999,-1.0,-1.0
2.7214329,2.723,0.0241343472584199,0.0296250000000002,1.0,1.0
2.73192955,2.7344,0.0274699170329562,0.0420000000000002,1.0,-1.0
2.8153663430420712,2.8126,0.0159511278240652,0.0160500000000003,-1.0,-1.0
2.66936935,2.6669,0.0283166077696022,0.043225,1.0,1.0
2.7976554042553192,2.7985,0.0249624641306677,0.0408499999999998,-1.0,-1.0
