Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
92,y > 5.00,0.4972,0.549903412749517,-1.0,-1.0,-1.0
93,y <= 5.00,0.4947,0.8535773710482529,1.0,1.0,1.0
94,y <= 2.17,0.2522,0.9920634920634921,1.0,1.0,1.0
95,y <= 5.00,0.5012,0.8502024291497976,1.0,1.0,1.0
96,x > 7.65,0.2484,0.8170731707317073,1.0,1.0,-1.0
97,y > 2.17,0.7519,0.5677603423680456,-1.0,-1.0,-1.0
98,x > 7.65,0.2471,0.8170731707317073,1.0,1.0,1.0
99,y > 2.17,0.7481,0.5571587125416204,-1.0,-1.0,-1.0
100,y > 2.17,0.7482,0.5557263643351268,-1.0,-1.0,-1.0
101,y > 2.17,0.7519,0.5419501133786848,-1.0,-1.0,-1.0
102,y <= 2.17,0.2481,1.0,1.0,1.0,1.0
103,y <= 5.00,0.5027,0.8703241895261845,1.0,1.0,1.0
104,y > 2.17,0.7543,0.5867665418227216,-1.0,-1.0,-1.0
105,y > 2.17,0.7532,0.5608782435129741,-1.0,-1.0,-1.0
106,y > 2.17,0.7461,0.5406451612903226,-1.0,-1.0,-1.0
107,y <= 2.17,0.255,0.9651741293532339,1.0,1.0,1.0
108,y <= 2.17,0.2594,0.9701492537313433,1.0,1.0,1.0
109,y <= 8.02,0.7557,0.7363013698630136,1.0,1.0,-1.0
110,y <= 2.17,0.2497,0.9763779527559056,1.0,1.0,1.0
111,y > 2.17,0.748,0.5894105894105894,-1.0,-1.0,-1.0
112,y > 2.17,0.7453,0.592071611253197,-1.0,-1.0,-1.0
114,y > 2.17,0.7547,0.5512727272727272,-1.0,-1.0,-1.0
115,y <= 5.00,0.4957,0.841897233201581,1.0,1.0,1.0
116,y <= 2.17,0.2489,0.9850746268656716,1.0,1.0,1.0
117,y > 5.00,0.4884,0.5519390581717452,-1.0,-1.0,-1.0
118,y > 2.17,0.7562,0.5893886966551326,-1.0,-1.0,-1.0
119,y > 2.17,0.7467,0.5538900785153462,-1.0,-1.0,-1.0
120,y > 2.17,0.7547,0.5526110678098207,-1.0,-1.0,-1.0
121,y <= 5.00,0.5014,0.8842315369261478,1.0,1.0,1.0
122,y > 2.17,0.7435,0.5790251107828656,-1.0,-1.0,-1.0
123,y > 2.17,0.7512,0.5799769850402762,-1.0,-1.0,-1.0
125,y > 2.17,0.749,0.5855457227138643,-1.0,-1.0,-1.0
126,y <= 2.17,0.2491,0.9823788546255506,1.0,1.0,1.0
128,y > 2.17,0.757,0.5669050051072523,-1.0,-1.0,-1.0
129,y > 2.17,0.7478,0.5550416281221091,-1.0,-1.0,-1.0
130,y <= 2.17,0.2459,0.983739837398374,1.0,1.0,1.0
131,y > 2.17,0.7517,0.5495004541326067,-1.0,-1.0,-1.0
133,y <= 5.00,0.5045,0.8652246256239601,1.0,1.0,1.0
134,y > 5.00,0.4998,0.5481798715203426,-1.0,-1.0,-1.0
135,y > 2.17,0.7503,0.5395849346656418,-1.0,-1.0,-1.0
136,y > 2.17,0.7463,0.559748427672956,-1.0,-1.0,-1.0
137,y > 2.17,0.7477,0.5576748410535877,-1.0,-1.0,-1.0
138,y <= 2.17,0.2489,0.9508196721311475,1.0,1.0,1.0
139,y > 5.00,0.5014,0.5564451561248999,-1.0,-1.0,-1.0
140,y <= 8.02,0.7444,0.7443762781186094,1.0,1.0,1.0
141,y > 2.17,0.7469,0.5506382978723404,-1.0,-1.0,-1.0
142,y > 2.17,0.7439,0.5468164794007491,-1.0,-1.0,-1.0
143,y > 2.17,0.7492,0.559322033898305,-1.0,-1.0,-1.0
144,x > 7.65,0.2508,0.8141176470588235,1.0,1.0,-1.0
145,y > 2.17,0.7492,0.5674300254452926,-1.0,-1.0,-1.0
147,y <= 5.00,0.5113,0.8762475049900199,1.0,1.0,1.0
148,y > 2.17,0.7553,0.5417142857142857,-1.0,-1.0,-1.0
149,y <= 2.17,0.253,0.9751243781094527,1.0,1.0,1.0
150,y > 2.17,0.7524,0.566213921901528,-1.0,-1.0,-1.0
151,y > 2.17,0.7477,0.5542971352431713,-1.0,-1.0,-1.0
152,y <= 2.17,0.248,0.9900990099009901,1.0,1.0,1.0
153,y <= 2.17,0.245,0.9689922480620154,1.0,1.0,1.0
154,y <= 5.00,0.5014,0.8737541528239202,1.0,1.0,1.0
155,x > 5.12,0.497,0.7615480649188514,1.0,1.0,-1.0
156,x > 7.65,0.2537,0.8153078202995009,1.0,1.0,1.0
157,x > 7.65,0.2494,0.8288159771754636,1.0,1.0,-1.0
158,y > 2.17,0.7517,0.5661948376353039,-1.0,-1.0,-1.0
159,y <= 5.00,0.496,0.8637873754152824,1.0,1.0,-1.0
160,y > 2.17,0.7553,0.5767790262172284,-1.0,-1.0,-1.0
161,x > 7.65,0.251,0.8243512974051896,1.0,1.0,1.0
162,y <= 5.00,0.493,0.830423940149626,1.0,1.0,1.0
163,y <= 5.00,0.5044,0.8571428571428571,1.0,1.0,1.0
164,y > 2.17,0.7447,0.5361702127659574,-1.0,-1.0,-1.0
165,y <= 5.00,0.4968,0.84593837535014,1.0,1.0,1.0
166,y > 2.17,0.7626,0.5557404326123128,-1.0,-1.0,-1.0
167,y <= 5.00,0.4962,0.8058035714285714,1.0,1.0,1.0
168,y > 2.17,0.7509,0.5548037889039242,-1.0,-1.0,-1.0
170,y <= 2.17,0.2495,1.0,1.0,1.0,1.0
171,x > 7.65,0.2487,0.8435940099833611,1.0,1.0,1.0
172,x > 7.65,0.2485,0.8302828618968386,1.0,1.0,1.0
173,y > 2.17,0.7577,0.5737538148524923,-1.0,-1.0,-1.0
174,y <= 2.17,0.2459,0.9615384615384616,1.0,1.0,1.0
175,y > 2.17,0.7456,0.5471551052221356,-1.0,-1.0,-1.0
176,y <= 2.17,0.2505,1.0,1.0,1.0,1.0
177,x > 7.65,0.2427,0.7987321711568938,1.0,1.0,-1.0
178,y <= 8.02,0.7464,0.7513873473917869,1.0,1.0,1.0
179,y > 2.17,0.7526,0.5357417371252883,-1.0,-1.0,-1.0
180,y > 2.17,0.7508,0.5834165834165834,-1.0,-1.0,-1.0
181,y > 2.17,0.7542,0.5782463928967814,-1.0,-1.0,-1.0
182,y > 2.17,0.7516,0.5445462114904246,-1.0,-1.0,-1.0
183,y <= 2.17,0.2598,0.9701492537313433,1.0,1.0,1.0
184,y > 2.17,0.7479,0.56,-1.0,-1.0,-1.0
185,y <= 2.17,0.2477,1.0,1.0,1.0,1.0
186,y > 2.17,0.7506,0.5565217391304348,-1.0,-1.0,-1.0
187,y > 2.17,0.7471,0.5634357762017337,-1.0,-1.0,-1.0
188,y > 2.17,0.7533,0.5665454545454546,-1.0,-1.0,-1.0
189,y > 2.17,0.7489,0.5646511627906977,-1.0,-1.0,-1.0
190,x > 7.65,0.2439,0.8103161397670549,1.0,1.0,-1.0
191,y <= 8.02,0.7496,0.7503566333808844,1.0,1.0,-1.0
192,y > 2.17,0.7511,0.5598885793871866,-1.0,-1.0,-1.0
193,y > 2.17,0.7523,0.5594913714804723,-1.0,-1.0,-1.0
194,x > 7.65,0.2531,0.8223552894211577,1.0,1.0,-1.0
195,x <= 5.12 AND y <= 8.02,0.4715,0.5103734439834025,-1.0,-1.0,-1.0
196,y <= 2.17,0.2514,0.9800995024875622,1.0,1.0,1.0
197,y <= 5.00,0.5025,0.8286189683860233,1.0,1.0,-1.0
198,y > 2.17,0.7461,0.5306704707560628,-1.0,-1.0,-1.0
199,y > 2.17,0.7489,0.564927857935627,-1.0,-1.0,-1.0
200,y <= 5.00,0.494,0.870216306156406,1.0,1.0,1.0
201,y > 2.17,0.7445,0.5638179800221975,-1.0,-1.0,-1.0
202,y <= 2.17,0.2485,0.9918032786885246,1.0,1.0,1.0
203,y <= 2.17,0.2556,0.9900497512437811,1.0,1.0,1.0
204,x > 7.65,0.2473,0.8320610687022901,1.0,1.0,1.0
205,y > 2.17,0.7416,0.5538033395176253,-1.0,-1.0,-1.0
206,y > 2.17,0.7533,0.5537679932260796,-1.0,-1.0,-1.0
207,y > 2.17,0.7507,0.5695253955037469,-1.0,-1.0,-1.0
208,y > 2.17,0.7465,0.5324459234608985,-1.0,-1.0,-1.0
209,y > 2.17,0.7523,0.5507487520798668,-1.0,-1.0,-1.0
210,y > 2.17,0.7467,0.5784114052953157,-1.0,-1.0,-1.0
211,y > 5.00,0.4965,0.5415108451757666,-1.0,-1.0,-1.0
212,y > 2.17,0.7489,0.5730337078651685,-1.0,-1.0,-1.0
213,y > 2.17,0.7487,0.6047904191616766,-1.0,-1.0,-1.0
215,x > 5.12,0.4947,0.7397260273972602,1.0,1.0,1.0
216,y <= 2.17,0.2442,1.0,1.0,1.0,1.0
217,y > 2.17,0.7472,0.5380476556495004,-1.0,-1.0,-1.0
218,y <= 2.17,0.2561,0.9833333333333333,1.0,1.0,-1.0
219,y > 2.17,0.7484,0.5662447257383966,-1.0,-1.0,-1.0
220,y > 2.17,0.7464,0.5590697674418604,-1.0,-1.0,-1.0
221,y <= 5.00,0.5031,0.8461538461538461,1.0,1.0,1.0
222,x > 7.65,0.2551,0.830423940149626,1.0,1.0,1.0
223,y > 2.17,0.7418,0.5355191256830601,-1.0,-1.0,-1.0
224,y > 2.17,0.7552,0.5380476556495004,-1.0,-1.0,-1.0
225,y > 5.00,0.497,0.5572636433512682,-1.0,-1.0,-1.0
226,y <= 2.17,0.2497,0.968,1.0,1.0,1.0
227,x > 7.65,0.2522,0.825,1.0,1.0,-1.0
228,y <= 2.17,0.2489,0.9742489270386266,1.0,1.0,1.0
229,y > 5.00,0.5056,0.5560567010309279,-1.0,-1.0,-1.0
230,y <= 5.00,0.5074,0.8744650499286734,1.0,1.0,1.0
231,y > 2.17,0.753,0.5531763026409707,-1.0,-1.0,-1.0
232,y > 2.17,0.7458,0.5728952772073922,-1.0,-1.0,-1.0
233,y > 2.17,0.7507,0.5758266818700114,-1.0,-1.0,-1.0
234,x > 7.65,0.2478,0.8148854961832062,1.0,1.0,1.0
235,y > 2.17,0.7516,0.5858974358974359,-1.0,-1.0,-1.0
236,y <= 2.17,0.2496,0.9921259842519685,1.0,1.0,1.0
237,y <= 2.17,0.2492,0.9758064516129032,1.0,1.0,1.0
238,x > 7.65,0.2548,0.8198614318706697,1.0,1.0,1.0
239,x > 7.65,0.2513,0.8393939393939394,1.0,1.0,-1.0
240,y > 2.17,0.7511,0.5507487520798668,-1.0,-1.0,-1.0
241,y <= 2.17,0.2529,0.9751243781094527,1.0,1.0,1.0
242,y > 2.17,0.7503,0.5622866894197952,-1.0,-1.0,-1.0
243,x > 7.65,0.2535,0.7983539094650206,1.0,1.0,1.0
244,y <= 2.17,0.2537,0.9515418502202643,1.0,1.0,1.0
245,y > 2.17,0.7476,0.5731481481481482,-1.0,-1.0,-1.0
246,y <= 5.00,0.5114,0.8737541528239202,1.0,1.0,1.0
247,y <= 2.17,0.2548,0.9701492537313433,1.0,1.0,1.0
248,y > 2.17,0.7473,0.5403283369022127,-1.0,-1.0,-1.0
249,y <= 2.17,0.2451,0.9850746268656716,1.0,1.0,1.0
250,y > 2.17,0.7462,0.5424292845257903,-1.0,-1.0,-1.0
251,y <= 2.17,0.2477,0.9900990099009901,1.0,1.0,1.0
252,y > 2.17,0.7491,0.5636969192339717,-1.0,-1.0,-1.0
253,y <= 2.17,0.2496,0.9568106312292359,1.0,1.0,1.0
254,y <= 5.00,0.5042,0.8602794411177644,1.0,1.0,1.0
255,y > 2.17,0.7524,0.5438401775804661,-1.0,-1.0,-1.0
257,y <= 8.02,0.751,0.7377185678601166,1.0,1.0,1.0
258,y > 2.17,0.754,0.5586734693877551,-1.0,-1.0,-1.0
259,y <= 5.00,0.4992,0.8504983388704319,1.0,1.0,1.0
260,y > 2.17,0.7392,0.5511145272867025,-1.0,-1.0,-1.0
261,y > 2.17,0.7503,0.5980024968789014,-1.0,-1.0,-1.0
262,y <= 5.00,0.4964,0.8703241895261845,1.0,1.0,-1.0
263,y > 2.17,0.7517,0.5502998001332445,-1.0,-1.0,-1.0
264,y <= 2.17,0.2575,0.9601328903654485,1.0,1.0,1.0
265,y > 2.17,0.7507,0.5718677940046119,-1.0,-1.0,-1.0
266,y > 2.17,0.7467,0.5798429319371727,-1.0,-1.0,-1.0
267,y > 2.17,0.7539,0.5757071547420965,-1.0,-1.0,-1.0
268,y > 2.17,0.7521,0.5840163934426229,-1.0,-1.0,-1.0
269,y <= 2.17,0.2454,1.0,1.0,1.0,1.0
270,y > 2.17,0.749,0.5352504638218923,-1.0,-1.0,-1.0
272,y > 2.17,0.7477,0.5560314061384726,-1.0,-1.0,-1.0
273,y > 2.17,0.7411,0.5274725274725275,-1.0,-1.0,-1.0
274,x > 7.65,0.2489,0.8207547169811321,1.0,1.0,1.0
275,y > 2.17,0.7488,0.5098039215686274,-1.0,-1.0,-1.0
276,y > 2.17,0.7539,0.5524296675191815,-1.0,-1.0,-1.0
277,y <= 8.02,0.7454,0.7477064220183486,1.0,1.0,1.0
278,y <= 5.00,0.5013,0.845679012345679,1.0,1.0,1.0
279,y > 2.17,0.7458,0.5549577248270561,-1.0,-1.0,-1.0
280,x > 7.65,0.251,0.826955074875208,1.0,1.0,1.0
281,y > 2.17,0.7416,0.5814185814185814,-1.0,-1.0,-1.0
282,y <= 2.17,0.2478,1.0,1.0,1.0,1.0
283,y > 2.17,0.7563,0.5603271983640081,-1.0,-1.0,-1.0
284,y > 2.17,0.7511,0.5449591280653951,-1.0,-1.0,-1.0
285,y > 2.17,0.7474,0.5990016638935108,-1.0,-1.0,-1.0
287,y > 2.17,0.7535,0.557774607703281,-1.0,-1.0,-1.0
288,y > 2.17,0.7517,0.5736885928393006,-1.0,-1.0,-1.0
289,y > 5.00,0.5043,0.5393794749403341,-1.0,-1.0,-1.0
291,y > 2.17,0.7408,0.529621698786581,-1.0,-1.0,-1.0
292,y <= 2.17,0.2539,0.9767441860465116,1.0,1.0,1.0
293,y > 2.17,0.7445,0.5443196004993758,-1.0,-1.0,-1.0
294,y > 2.17,0.7404,0.55826859045505,-1.0,-1.0,-1.0
295,y > 2.17,0.7518,0.5274725274725275,-1.0,-1.0,-1.0
296,y > 5.00,0.491,0.5552486187845304,-1.0,-1.0,-1.0
297,y > 2.17,0.7548,0.5844155844155844,-1.0,-1.0,-1.0
298,y > 2.17,0.7571,0.6084275436793423,-1.0,-1.0,-1.0
299,y > 2.17,0.7489,0.5780274656679151,-1.0,-1.0,-1.0
300,y > 2.17,0.7466,0.5516322451698867,-1.0,-1.0,-1.0
301,y > 2.17,0.744,0.5594405594405595,-1.0,-1.0,-1.0
302,x > 7.65,0.254,0.8060046189376443,1.0,1.0,1.0
303,y > 2.17,0.7604,0.5660377358490566,-1.0,-1.0,-1.0
304,y > 2.17,0.7495,0.5540417801998183,-1.0,-1.0,-1.0
305,y > 2.17,0.7454,0.5531077891424075,-1.0,-1.0,-1.0
306,y <= 2.17,0.2482,0.9769230769230769,1.0,1.0,1.0
307,y <= 5.00,0.4964,0.8363273453093812,1.0,1.0,1.0
308,y > 2.17,0.7459,0.5615982241953386,-1.0,-1.0,-1.0
309,y <= 2.17,0.2482,0.9922480620155039,1.0,1.0,1.0
310,y > 2.17,0.7492,0.5683407501589319,-1.0,-1.0,-1.0
311,y > 5.00,0.5011,0.5486265775798069,-1.0,-1.0,-1.0
312,y > 2.17,0.7518,0.5631244323342416,-1.0,-1.0,-1.0
314,y <= 2.17,0.254,0.9568106312292359,1.0,1.0,1.0
315,x > 5.12,0.4958,0.7524972253052165,1.0,1.0,1.0
316,y <= 2.17,0.2415,0.9850746268656716,1.0,1.0,1.0
317,y > 2.17,0.747,0.5677603423680456,-1.0,-1.0,-1.0
318,y > 2.17,0.756,0.587906976744186,-1.0,-1.0,-1.0
319,y <= 5.00,0.5035,0.8507795100222717,1.0,1.0,1.0
320,y <= 2.17,0.2483,0.9701492537313433,1.0,1.0,1.0
321,y > 2.17,0.7566,0.5467756584922797,-1.0,-1.0,-1.0
322,y > 2.17,0.7562,0.5704772475027747,-1.0,-1.0,-1.0
323,y <= 2.17,0.2461,0.9751243781094527,1.0,1.0,1.0
324,y > 2.17,0.7509,0.5580322828593389,-1.0,-1.0,-1.0
325,x > 7.65,0.2504,0.7962529274004684,1.0,1.0,1.0
326,y <= 5.00,0.5006,0.8582834331337326,1.0,1.0,1.0
327,y > 2.17,0.7568,0.5658181818181818,-1.0,-1.0,-1.0
328,y > 5.00,0.4933,0.5581597222222222,-1.0,-1.0,-1.0
329,y <= 5.00,0.5018,0.8470254957507082,1.0,1.0,1.0
331,y <= 2.17,0.2443,0.9608695652173913,1.0,1.0,1.0
332,y > 2.17,0.7533,0.5398457583547558,-1.0,-1.0,-1.0
333,y > 2.17,0.7522,0.5610997963340122,-1.0,-1.0,-1.0
334,y > 2.17,0.752,0.5617977528089888,-1.0,-1.0,-1.0
335,x > 7.65,0.2457,0.8177570093457944,1.0,1.0,1.0
336,y <= 5.00,0.4879,0.85785536159601,1.0,1.0,1.0
337,y <= 5.00,0.4973,0.9097222222222222,1.0,1.0,1.0
338,y > 2.17,0.7542,0.5537052456286428,-1.0,-1.0,-1.0
339,y > 2.17,0.7476,0.5585072738772928,-1.0,-1.0,-1.0
340,y > 2.17,0.7525,0.553030303030303,-1.0,-1.0,-1.0
341,y <= 5.00,0.4984,0.8313725490196079,1.0,1.0,1.0
342,y <= 5.00,0.4947,0.8718801996672213,1.0,1.0,1.0
343,y <= 2.17,0.2509,0.9850746268656716,1.0,1.0,1.0
344,y > 5.00,0.4968,0.5545378850957535,-1.0,-1.0,-1.0
345,y > 2.17,0.7446,0.5637065637065637,-1.0,-1.0,-1.0
346,y > 5.00,0.5027,0.5449654112221368,-1.0,-1.0,-1.0
347,x > 7.65,0.2499,0.8603491271820449,1.0,1.0,1.0
348,y > 2.17,0.7449,0.5633946830265849,-1.0,-1.0,-1.0
349,y > 2.17,0.7486,0.5566893424036281,-1.0,-1.0,-1.0
350,y > 2.17,0.756,0.5615982241953386,-1.0,-1.0,-1.0
352,y > 2.17,0.757,0.5873544093178037,-1.0,-1.0,-1.0
353,y > 2.17,0.7515,0.5480399692544197,-1.0,-1.0,-1.0
354,y > 2.17,0.7481,0.5614617940199336,-1.0,-1.0,-1.0
355,y <= 2.17,0.2464,0.9767441860465116,1.0,1.0,1.0
356,y > 2.17,0.7482,0.5586734693877551,-1.0,-1.0,-1.0
357,y > 2.17,0.7531,0.5694822888283378,-1.0,-1.0,-1.0
358,y <= 5.00,0.4963,0.8725212464589235,1.0,1.0,1.0
359,y <= 5.00,0.4997,0.8336106489184693,1.0,1.0,1.0
360,x > 7.65,0.2487,0.8173652694610778,1.0,1.0,1.0
361,y <= 2.17,0.2492,0.9800995024875622,1.0,1.0,1.0
362,y > 2.17,0.7489,0.5700934579439252,-1.0,-1.0,-1.0
363,y <= 5.00,0.4981,0.8737541528239202,1.0,1.0,-1.0
364,y <= 2.17,0.2469,0.9651741293532339,1.0,1.0,1.0
365,y <= 2.17,0.2483,0.9922480620155039,1.0,1.0,1.0
366,y <= 2.17,0.2439,0.963963963963964,1.0,1.0,1.0
367,x > 7.65,0.2538,0.8164794007490637,1.0,1.0,1.0
368,y > 2.17,0.7485,0.5465334166146159,-1.0,-1.0,-1.0
369,y > 2.17,0.7563,0.5403535741737125,-1.0,-1.0,-1.0
370,y > 2.17,0.7569,0.5566905005107252,-1.0,-1.0,-1.0
371,x > 5.12,0.5075,0.7434279705573081,1.0,1.0,-1.0
372,y > 2.17,0.7487,0.5587010824313072,-1.0,-1.0,-1.0
