Index,AnchorConditions,Coverage,Precision,AnchorOutput,ModelOutput,RealOutput
964,y <= 8.02,0.7591,0.5440349781386633,1.0,1.0,1.0
965,y <= 5.00,0.5029,0.5505535055350553,1.0,1.0,1.0
966,y <= 8.02,0.7523,0.5649484536082474,1.0,1.0,1.0
967,y <= 8.02,0.756,0.5804661487236404,1.0,1.0,1.0
968,y <= 8.02,0.7489,0.5624553890078515,1.0,1.0,1.0
969,y <= 5.00,0.4994,0.5669553630912725,1.0,1.0,1.0
970,y <= 5.00,0.512,0.5692675159235668,1.0,1.0,1.0
971,y <= 8.02,0.7494,0.5403064623584277,1.0,1.0,1.0
972,x <= 2.47,0.2508,0.826955074875208,-1.0,-1.0,-1.0
973,y > 8.02,0.2424,0.9603174603174603,-1.0,-1.0,-1.0
974,y > 5.00,0.5028,0.8419301164725458,-1.0,-1.0,-1.0
975,y > 8.02,0.2532,0.9752066115702479,-1.0,-1.0,-1.0
976,y > 8.02,0.2583,0.9601328903654485,-1.0,-1.0,-1.0
977,y <= 8.02,0.7556,0.5763195435092725,1.0,1.0,1.0
978,y > 5.00,0.4988,0.8603491271820449,-1.0,-1.0,1.0
979,y <= 8.02,0.7474,0.5805991440798859,1.0,1.0,1.0
980,y <= 8.02,0.7495,0.5626441199077633,1.0,1.0,1.0
981,y <= 5.00,0.4867,0.5645967166309779,1.0,1.0,1.0
982,y <= 8.02,0.7471,0.5809167446211413,1.0,1.0,1.0
983,y <= 8.02,0.7468,0.5703905540417802,1.0,1.0,1.0
984,y > 8.02,0.2467,0.9900990099009901,-1.0,-1.0,-1.0
985,y <= 8.02,0.7461,0.5474525474525475,1.0,1.0,1.0
986,y <= 8.02,0.7552,0.5479962721342032,1.0,1.0,1.0
987,y <= 8.02,0.7481,0.5418227215980025,1.0,1.0,1.0
988,y > 8.02,0.2532,0.9661016949152542,-1.0,-1.0,-1.0
989,y <= 8.02,0.7506,0.5549577248270561,1.0,1.0,1.0
990,y > 8.02,0.2524,0.9850746268656716,-1.0,-1.0,-1.0
991,y > 5.00,0.5019,0.8435940099833611,-1.0,-1.0,-1.0
992,x <= 2.47,0.2464,0.8032407407407407,-1.0,-1.0,-1.0
993,y > 5.00,0.5011,0.8599439775910365,-1.0,-1.0,-1.0
994,x > 7.65 AND y > 2.17,0.2488,0.4897750511247444,1.0,1.0,1.0
995,x <= 2.47,0.2503,0.8364197530864198,-1.0,-1.0,-1.0
996,x <= 2.47,0.235,0.8566978193146417,-1.0,-1.0,1.0
997,y <= 8.02,0.75,0.5667574931880109,1.0,1.0,1.0
998,y > 5.00,0.4902,0.8253521126760563,-1.0,-1.0,-1.0
999,y > 5.00,0.5028,0.8653366583541147,-1.0,-1.0,-1.0
